"","order","family","species","common_name","Neritic_Oceanic","Bentho_Pelagic","feeding_strategy","trophic_level","IUCN","fisheries_interest","G.GI","method","N","n_fish_ingested","FO","binary"
"272","Perciformes","Sparidae","Boops boops","Bogue","N","B","O",2.8,"NE","Y","G","2","32","3",9.38,1
"273","Perciformes","Sparidae","Dentex dentex","Common dentex","N","BP","BP",4.5,"VU","Y","GI","3","1","0",0,0
"274","Perciformes","Sparidae","Dentex gibbosus","Pink dentex","N","BP","BP",4.1,"LC","Y","GI","3","14","4",28.57,1
"275","Perciformes","Sparidae","Dentex macrophthalmus","Large-eye dentex","N-O","BP","BP",3.5,"NE","Y","G","2","1","1",100,1
"276","Perciformes","Sparidae","Diplodus annularis","Pink dentex","N","BP","BP",3.6,"LC","Y","GI","3","48","33",68.75,1
"277","Perciformes","Sparidae","Diplodus vulgaris","2-banded seabream","N","BP","BP",3.5,"LC","Y","GI","3","40","29",72.5,1
"278","Perciformes","Sparidae","Lagodon rhomboides","Pinfish","N",NA,"BP",4.4,"LC","Y","G ","2","449","209",46.55,1
"279","Perciformes","Sparidae","Lithognathus mormyrus","Sand steenbras","N",NA,"BP",3.4,"LC","Y","GI","3","46","16",34.78,1
"280","Perciformes","Sparidae","Pagellus acarne","Axillary seabream","N-O","B","BP",3.8,"NE","Y","G","2","1","1",100,1
"281","Perciformes","Sparidae","Pagellus bogaraveo","Blackspot seabream","N-O",NA,"BP",4.2,"NE","Y","GI ","2","60","1",1.67,1
"282","Perciformes","Sparidae","Pagellus erythrinus","Common pandora","N","BP","BP",3.5,"LC","Y","GI","3","54","28",51.85,1
"283","Perciformes","Sparidae","Pagrus auratus","Silver seabream","N","BP","BP",3.6,"LC","Y","GI","3","22","1",4.55,1
"284","Perciformes","Sparidae","Pagrus pagrus","Red porgy","N","BP","BP",3.9,"LC","Y","GI","3","9","7",77.78,1
"285","Perciformes","Sparidae","Sparus aurata","Gilthead seabream","N",NA,"BP",3.7,"LC","Y","GI","3","110","48",43.64,1
"286","Perciformes","Sparidae","Spondyliosoma cantharus","Black seabream","N","BP","O",3.3,"LC","Y","GI ","3","5","5",100,1
"287","Perciformes","Sphyraenidae","Sphyraena forsteri","Bigeye barracuda","N-O","P","PP",4.4,"NE","Y","GI","3","12","2",16.67,1
"288","Perciformes","Sphyraenidae","Sphyraena genie","Blackfin barracuda","N-O","P","PP",4.5,"NE","Y","GI","1","7","1",14.29,1
"289","Perciformes","Sphyraenidae","Sphyraena guachancho","Guachanche barracuda","N","P","PP",4.4,"NE","Y","G ","2","1","0",0,0
"290","Perciformes","Stromateidae","Pampus argenteus","Silver pomfret","N","BP","P",3.3,"NE","Y","GI","3","18","18",100,1
"291","Perciformes","Teraponidae","Pelates quadrilineatus","Fourlined terapon","N",NA,"BP",3.6,"NE","Y","GI","3","135","88",65.19,1
"292","Perciformes","Teraponidae","Terapon jarbua","Jarbua terapon","N",NA,"O",3.9,"LC","Y","GI","3","18","18",100,1
"293","Perciformes","Trichiuridae","Aphanopus carbo","Black scabbardfish","O","P","PP",4.5,"NE","Y","GI","2","5","0",0,0
"294","Perciformes","Trichiuridae","Lepidopus caudatus","Silver Scabbardfish","N-O","BP","PP",3.8,"NE","Y","GI","2","1","0",0,0
"295","Perciformes","Trichiuridae","Trichiurus lepturus","Largehead hairtail","N","BP","PP",4.4,"NE","Y","G","1","149","1",0.67,1
"296","Perciformes","Tripterygiidae","Helcogrammoides chilensis","n/a","N",NA,"BP",3.3,"LC","N","GI","3","3","3",100,1
"297","Perciformes","Uranoscopidae","Uranoscopus scaber","Stargazer","N-O",NA,"BP",4.4,"LC","Y","GI","3","9","7",77.78,1
"298","Perciformes","Xiphiidae","Xiphias gladius","Swordfish","O","P","PP",4.5,"LC","Y","G","?","56","7",12.5,1
"299","Perciformes","Zoarcidae","Zoarces viviparus","Eelpout","N",NA,"BP",3.5,"NE","Y","GI","3","150","0",0,0
"300","Pleuronectiformes ","Citharidae","Citharus linguatula","Spotted flounder","N","B","BP",4,"LC","Y","GI ","2","52","1",1.92,1
"301","Pleuronectiformes ","Cynoglossidae","Cynoglossus abbreviatus","3-lined tongue sole","N",NA,"BP",3.5,"NE","Y","GI","3","18","18",100,1
"302","Pleuronectiformes ","Paralichthyidae","Citharichthys sordidus","Pacific sanddab","N-O","B","BP",3.5,"NE","y","GI","3","5","3",60,1
"303","Pleuronectiformes ","Paralichthyidae","Paralichthys brasiliensis","Brazilian flounder","N","B","BP",4.2,"NE","y","G ","2","1","0",0,0
"304","Pleuronectiformes ","Pleuronectidae","Hippoglossus hippoglossus","Atlantic halibut","O","B","BP",4,"EN","Y","GI","2","14","0",0,0
"305","Pleuronectiformes ","Pleuronectidae","Limanda limanda","Common dab","N","B","BP",3.4,"LC","Y","GI ","2","89","4",4.49,1
"306","Pleuronectiformes ","Pleuronectidae","Pleuronectes platessa","European plaice","N","B","BP",3.2,"LC","Y","GI","2","62","28",45.16,1
"307","Pleuronectiformes ","Pleuronectidae","Pseudopleuronectes americanus  ","Winter flounder","N","B","BP",3.6,"NE","Y","n/a",NA,"95","2",2.11,1
"308","Pleuronectiformes ","Pleuronectidae","Platichthys flesus","European flounder","N","B","BP",3.3,"LC","Y","GI","2","66","56",84.85,1
"309","Pleuronectiformes ","Scophthalmidae","Lepidorhombus boscii","Four-spot megrim","N-O","B","BP",3.7,"NE","Y","G","2","2","1",50,1
"310","Pleuronectiformes ","Scophthalmidae","Lepidorhombus whiffiagonis","Megrim","N-O","B","BP",4.3,"NE","Y","GI","2","10","1",10,1
"311","Pleuronectiformes ","Soleidae","Buglossidium luteum","Solenette","N-O","B","BP",3.3,"LC","Y","GI","2","50","13",26,1
"312","Pleuronectiformes ","Soleidae","Microchirus variegatus","Thickback sole","N-O","B","BP",3.3,"NE ","Y","GI","2","51","12",23.53,1
"313","Pleuronectiformes ","Soleidae","Solea solea","Common sole","N","B","BP",3.2,"NE ","Y","GI","3","533","506",94.93,1
"314","Salmoniformes","Salmonidae","Oncorhynchus tshawytscha","Chinook salmon","N","BP","PP",4.4,"NE","Y","GI","3","4","1",25,1
"315","Salmoniformes","Salmonidae","Salmo trutta","Sea trout","N","P","BP",3.4,"LC","Y","GI","3","62","42",67.74,1
"316","Scorpaeniformes ","Cottidae","Myoxocephalus aenaeus  ","Grubby","N-O","B","BP",3.7,"NE ","N","n/a",NA,"47","2",4.26,1
"317","Scorpaeniformes ","Cottidae","Triglops nybelini","Bigeye sculpin","N-O","B","BP",3.3,"NE","N","GI","3","71","24",33.8,1
"318","Scorpaeniformes ","Hexagrammidae","Ophiodon elongatus","Lingcod","N-O",NA,"BP",4.3,"NE","Y","GI","3","11","1",9.09,1
"319","Scorpaeniformes ","Liparidae","Liparis liparis","Striped seasnail","N","B","BP",3.6,"LC","Y","GI"," ","220","16",7.27,1
"320","Scorpaeniformes ","Platycephalidae","Platycephalus bassensis","Sand flathead","N","B","BP",4.3,"NE","Y","G, GI","2","10","0",0,0
"321","Scorpaeniformes ","Platycephalidae","Platycephalus laevigatus","Black flathead","N",NA,"BP",3.8,"NE","N","G, GI","2","7","0",0,0
"322","Scorpaeniformes ","Scorpaenidae","Scorpaena elongata","Slender rockfish","N-O",NA,"BP",3.9,"NE","Y","GI","2","1","0",0,0
"323","Scorpaeniformes ","Scorpaenidae","Scorpaena jacksoniensis","n/a","N",NA,"BP",3.9,"NE","N","G, GI","2","19","0",0,0
"324","Scorpaeniformes ","Scorpaenidae","Scorpaena loppei","Cadenat's rockfish","N",NA,"BP",3.5,"LC","N","G","1","104","0",0,0
"325","Scorpaeniformes ","Scorpaenidae","Scorpaena scrofa","Red scorpionfish","N-O",NA,"BP",4.3,"LC","Y","G","1","51","0",0,0
"326","Scorpaeniformes ","Sebastidae","Helicolenus dactylopterus","Blackbelly rosefish","N-O",NA,"BP",3.5,"NE","Y","GI ","2","380","0",0,0
"327","Scorpaeniformes ","Sebastidae","Sebastes caurinus","Copper rockfish","N",NA,"BP",4.1,"NE","Y","GI","3","1","0",0,0
"328","Scorpaeniformes ","Sebastidae","Sebastes flavidus","Yellowtail rockfish","N-O","BP","PP",4.2,"NE","Y","GI","3","3","1",33.33,1
"329","Scorpaeniformes ","Sebastidae","Sebastes miniatus","Vermilion rockfish","N",NA,"BP",3.9,"NE","Y","GI","3","3","0",0,0
"330","Scorpaeniformes ","Sebastidae","Sebastes mystinus","Blue rockfish","N-O","BP","P",2.7,"NE","Y","GI","3","10","2",20,1
"331","Scorpaeniformes ","Sebastidae","Sebastiscus marmoratus","False kelpfish","N","B","BP",3.7,"NE","Y","GI","3","18","18",100,1
"332","Scorpaeniformes ","Sebastidae","Trachyscorpia cristulata","Atlantic thornyhead","N-O",NA,"BP",3.9,"LC","Y","G","1","49","0",0,0
"333","Scorpaeniformes ","Triglidae","Chelidonichthys cuculus","Red gurnard","N","B","BP",3.8,"NE","Y","GI","2","66","34",51.52,1
"334","Scorpaeniformes ","Triglidae","Chelidonichthys kumu","Bluefin gurnard","N","B","BP",3.7,"LC","Y","GI","3","27","1",3.7,1
"335","Scorpaeniformes ","Triglidae","Chelidonichthys lucerna","Tub gurnard","N","B","BP",4,"NE","Y","GI ","3","3","2",66.67,1
"336","Scorpaeniformes ","Triglidae","Chelidonichthys obscurus","Longfin gurnard","N","B","BP",3.7,"LC","Y","G","1","412","0",0,0
"337","Scorpaeniformes ","Triglidae","Eutrigla gurnardus","Grey gurnard","N","B","BP",3.9,"NE","Y","GI","3","171","0",0,0
"338","Scorpaeniformes ","Triglidae","Prionotus evolans","Striped searobin","N","B","BP",4.3,"LC","Y","n/a",NA,"1","1",100,1
"339","Scorpaeniformes ","Triglidae","Trigla lyra","Piper","N","B","BP",3.7,"NE","Y","G","2","31","6",19.35,1
"340","Siluriformes","Ariidae","Bagre bagre","Coco sea catfish","N","B","BP",4,"LC","Y","GI","2","7","5",71.43,1
"341","Siluriformes","Ariidae","Bagre marinus","Gafftopsail sea catfish","N","B","BP",3.5,"LC","Y","GI","2","4","4",100,1
"342","Siluriformes","Ariidae","Cathorops agassizii","n/a","N","B","BP",4.3,"NE","N","G","2","60","20",33.33,1
"343","Siluriformes","Ariidae","Cathorops spixii","Madamango sea catfish","N",NA,"BP",3.5,"NE","Y","G","2","60","11",18.33,1
"344","Siluriformes","Ariidae","Notarius grandicassis","Thomas sea catfish","N","B","BP",4,"LC","Y","GI","2","4","0",0,0
"345","Siluriformes","Ariidae","Sciades herzbergii","Pemecou sea catfish","N",NA,"BP",3.3,"NE","Y","G","2","62","11",17.74,1
"346","Stomiiformes","Gonostomatidae","Cyclothone acclinidens","Benttooth bristlemouth","O","P","P",3.6,"NE","N","G","2","4","0",0,0
"347","Stomiiformes","Gonostomatidae","Cyclothone atraria","Deep-water bristlemouth","O","P","P",3.1,"NE","N","G","2","3","0",0,0
"348","Stomiiformes","Gonostomatidae","Cyclothone pallida","Tan bristlemouth","O","P","P",3.2,"NE","N","G","2","5","0",0,0
"349","Stomiiformes","Gonostomatidae","Cyclothone pseudopallida","Slender bristlemouth","O","P","P",3.1,"NE","N","G","2","4","0",0,0
"350","Stomiiformes","Gonostomatidae","Gonostoma denudatum","n/a","O","P","P",3.3,"LC","N","G ","3","5","5",100,1
"351","Stomiiformes","Phosichthyidae","Vinciguerria mabahiss","n/a","O","P","P",3.1,"NE","N","GI ","3","10","0",0,0
"352","Stomiiformes","Sternoptychidae","Argyropelecus affinis","Pacififc hatchet fish","O","P","P",3.1,"NE","N","G","2","1","0",0,0
"353","Stomiiformes","Sternoptychidae","Argyropelecus hemigymnus","Half-naked hatchet fish","O","P","P",3.1,"LC","N","G","2","3","0",0,0
"354","Stomiiformes","Sternoptychidae","Danaphos oculatus","Bottlelights","O","P","P",3,"NE","Y","G","2","9","0",0,0
"355","Stomiiformes","Sternoptychidae","Maurolicus muelleri","Silvery lightfish","O","P","P",3,"NE","Y","GI","3","282","8",2.84,1
"356","Stomiiformes","Sternoptychidae","Maurolicus mucronatus","n/a","O","P","P",3.1,"NE","N","GI","3","10","1",10,1
"357","Stomiiformes","Sternoptychidae","Sternoptyx diaphana","Bottlelights","O","P","P",3.4,"NE","N","G","2","4","1",25,1
"358","Stomiiformes","Sternoptychidae","Sternoptyx pseudobscura","Highlight hatchet fish","O","P","P",3.4,"NE","N","G","2","6","1",16.67,1
"359","Stomiiformes","Stomiidae","Idiacanthus antrostomus","Pacific blackdragon","O","P","PP",3.8,"NE","N","G","2","4","1",25,1
"360","Stomiiformes","Stomiidae","Stomias boa  ","Boa dragonfish","O","P","PP",4,"NE","N","GI","3","5","2",40,1
"361","Tetraodontiformes","Monacanthidae","Meuschenia scaber","Velvet leatherjacket","N","BP","G",3.1,"NE","Y","GI","3","19","7",36.84,1
"362","Tetraodontiformes","Monacanthidae","Thamnaconus septentrionalis","n/a","N",NA,"O",3.4,"NE","Y","GI","3","18","18",100,1
"363","Tetraodontiformes","Tetraodontidae","Lagocephalus laevigatus","Smooth puffer","N-O","P","BP",4,"NE","Y","G ","2","1","0",0,0
"364","Tetraodontiformes","Tetraodontidae","Lagocephalus spadiceus","Half-smooth gold puffie","N",NA,"BP",3.7,"LC","N","GI","3","1","0",0,0
"365","Zeiformes","Zeidae","Zeus faber","John dory","N","BP","BP",4.5,"NE","Y","GI","2","42","20",47.62,1
"366","Carcharhiniformes","Carcharhinidae","Carcharhinus amboinensis","Pigeye shark","N","BP","PP",4.3,"DD","Y","G","1","222","0",0,0
"367","Carcharhiniformes","Carcharhinidae","Carcharhinus brachyurus","Bronze whaler","N-O","BP","PP",4.5,"NT","Y","G","1","1404","1",0.07,1
"368","Carcharhiniformes","Carcharhinidae","Carcharhinus brevipinna","Spinner shark","N-O","P","PP",4.2,"NT","Y","G","1","1699","0",0,0
"369","Carcharhiniformes","Carcharhinidae","Carcharhinus leucas","Bull shark","N","BP","PP",4.3,"NT","Y","G","1","661","4",0.61,1
"370","Carcharhiniformes","Carcharhinidae","Carcharhinus limbatus","Blacktip shark","N","BP","PP",4.4,"NT","Y","G","1","1785","4",0.22,1
"371","Carcharhiniformes","Carcharhinidae","Carcharhinus obscurus","Dusky shark","N","BP","PP",4.3,"VU","Y","G","1","2741","4",0.15,1
"372","Carcharhiniformes","Carcharhinidae","Carcharhinus plumbeus","Sandbar shark","N-O","BP","PP",4.5,"VU","Y","G","1","379","0",0,0
"373","Carcharhiniformes","Carcharhinidae","Galeocerdo cuvier","Tiger shark","N-O","BP","PP",4.5,"NT","Y","G","1","505","38",7.52,1
"374","Carcharhiniformes","Carcharhinidae","Prionace glauca","Blue shark","O","P","PP",4.4,"NT","N","G","2","95","24",25.26,1
"375","Carcharhiniformes","Carcharhinidae","Rhizoprionodon lalandii","Brazilian sharpnose shark","N",NA,"PP",4.3,"DD","Y","G ","2","6","2",33.33,1
"376","Carcharhiniformes","Triakidae","Mustelus canis","Dusky smooth-hound","N-O",NA,"BP",3.6,"NT","Y","GI","2","2","0",0,0
"377","Carcharhiniformes","Triakidae","Mustelus higmani","Smalleye smooth-hound","N-O",NA,"BP",3.6,"LC","Y","GI","2","3","0",0,0
"378","Carcharhiniformes","Scyliorhinidae","Galeus melastomus   ","Blackmouth catshark","N-O",NA,"BP",4.2,"LC","Y","G","2","125","21",16.8,1
"379","Carcharhiniformes","Scyliorhinidae","Scyliorhinus canicula ","Lesser spotted dogfish","N-O",NA,"BP",3.8,"LC","Y","G","2","20","4",20,1
"380","Carcharhiniformes","Sphyrnidae","Sphyrna lewini","Scalloped hammerhead","O","P","PP",4.1,"EN","Y","G","1","1916","2",0.1,1
"381","Carcharhiniformes","Sphyrnidae","Sphyrna mokarran","Great hammerhead","O","P","PP",4.3,"EN","Y","G","1","177","0",0,0
"382","Carcharhiniformes","Sphyrnidae","Sphyrna tiburo","Bonnethead","N",NA,"BP",3.9,"LC","Y","GI","2","2","2",100,1
"383","Carcharhiniformes","Sphyrnidae","Sphyrna zygaena","Smooth hammerhead","O","P","PP",4.9,"VU","Y","G","1","1154","2",0.17,1
"384","Lamniformes","Lamnidae","Carcharodon carcharias","Great White shark","O","P","PP",4.5,"VU","Y","G","1","524","2",0.38,1
"385","Lamniformes","Lamnidae","Isurus oxyrinchus","Shortfin mako shark","O","P","PP",4.5,"VU","Y","G","1","231","2",0.87,1
"386","Lamniformes","Odantaspididae","Carcharias taurus","Sand tiger shark","N","BP","PP",4.5,"VU","Y","G","1","2268","1",0.04,1
"387","Myliobatiformes","Dasyatidae","Hypanus americanus","Southern stingray","N","B","BP",3.5,"DD","Y","G ","2","3","0",0,0
"388","Myliobatiformes","Dasyatidae","Pteroplatytrygon violacea  ","Pelagic stingray","O","P","PP",4.4,"LC","BC","GI","2","2","1",50,1
"389","Myliobatiformes","Myliobatidae","Rhinoptera bonasus","Cownose ray","N-O","B","BP",3.2,"NT","Y","GI","2","1","0",0,0
"390","Rajiformes","Rajidae","Dipturus oxyrinchus","Longnosed skate","N-O","B","BP",3.5,"NT","Y","GI ","2","10","0",0,0
"391","Rajiformes","Rajidae","Leucoraja circularis","Sandy ray","N-O","B","BP",3.5,"EN","Y","G","1","34","0",0,0
"392","Rajiformes","Rajidae","Leucoraja naevus","Cuckoo ray","N-O","B","BP",4.2,"LC","Y","G","1","381","1",0.26,1
"393","Rajiformes","Rajidae","Raja asterias","Mediterranean starry ray","N",NA,"BP",3.5,"LC","Y","G","2","7","3",42.86,1
"394","Rajiformes","Rajidae","Raja clavata","Thornback ray","N","B","BP",3.8,"NT","Y","GI","2","2","0",0,0
"395","Rajiformes","Rajidae","Raja montagui","Spotted ray","N","B","BP",3.9,"LC","Y","G","1","1421","0",0,0
"396","Squaliformes","Centrophoridae","Centrophorus granulosus","gulper shark","O",NA,"PP",4.1,"VU","Y","GI ","2","5","0",0,0
"397","Squaliformes","Centrophoridae","Deania calcea","Birdbeak dogfish","O","BP","PP",4.3,"LC","Y","G","1","130","0",0,0
"398","Squaliformes","Etmopteridae","Etmopterus spinax  ","Velvet-belly lanternshark","O",NA,"PP",4.1,"LC","Y","GI","2","16","1",6.25,1
"399","Squaliformes","Somniosidae","Centroscymnus coelolepis","Portuguese dogfish","O",NA,"PP",4.5,"NT","Y","G, GI, I","1","54","1",1.85,1
"400","Squaliformes","Somniosidae","Scymnodon ringens","Knifetooth dogfish","O","BP","PP",3.9,"DD","Y","G","1","49","0",0,0
"401","Squaliformes","Squalidae","Squalus acanthias","Picked dogfish","N-O","BP","PP",4.4,"VU","Y","GI","3","9","4",44.44,1
"402","Squaliformes","Squalidae","Squalus blainville","Longnose spurdog","N-O",NA,"PP",4,"DD","Y","GI","2","75","1",1.33,1
"403","Torpediniformes","Narcinidae","Narcine brasiliensis","Brazilian electric ray","N","B","BP",3.2,"DD","Y","GI","2","6","1",16.67,1
"404","Torpediniformes","Torpedinidae","Torpedo torpedo","Common torpedo","N",NA,"BP",4.5,"DD","N","G","2","1","0",0,0
"405","Chimaeriformes","Chimaeridae","Chimera monstrosa","Ratfish","N",NA,"BP",3.5,"NT","BC","G","2","2","0",0,0
