,order,family,species,common_name,Neritic_Oceanic,Bentho_Pelagic,feeding_strategy,trophic_level,IUCN,fisheries_interest,G.GI,method,N,n_fish_ingested,FO,Region
386,Perciformes,Sparidae,NA,NA,NA,NA,NA,NA,NA,NA,GI,2,337,195,57.86,MED
387,Perciformes,Sparidae,Dentex dentex,Common dentex,N,BP,BP,4.5,VU,Y,GI,3,1,0,0,MED
388,Perciformes,Sparidae,Dentex gibbosus,Pink dentex,N,BP,BP,4.1,LC,Y,GI,3,14,4,28.57,MED
389,Perciformes,Sparidae,Dentex macrophthalmus,Large-eye dentex,N-O,BP,BP,3.5,NE,Y,G,2,1,1,100,ATL N
390,Perciformes,Sparidae,Diplodus annularis,Pink dentex,N,BP,BP,3.6,LC,Y,GI,3,48,33,68.75,MED
391,Perciformes,Sparidae,Diplodus vulgaris,2-banded seabream,N,BP,BP,3.5,LC,Y,GI,3,40,29,72.5,ATL N
392,Perciformes,Sparidae,Lagodon rhomboides,Pinfish,N,D,BP,4.4,LC,Y,G ,2,449,209,46.55,ATL N
393,Perciformes,Sparidae,Lithognathus mormyrus,Sand steenbras,N,D,BP,3.4,LC,Y,GI,3,46,16,34.78,MED
394,Perciformes,Sparidae,NA,NA,NA,NA,NA,NA,NA,NA,G,1,63,0,0,ATL N
395,Perciformes,Sparidae,Pagellus acarne,Axillary seabream,N-O,B,BP,3.8,NE,Y,G,2,1,1,100,ATL N
396,Perciformes,Sparidae,NA,NA,NA,NA,NA,NA,NA,NA,GI,3,52,35,67.31,MED
397,Perciformes,Sparidae,NA,NA,NA,NA,NA,NA,NA,NA,G,1,1917,0,0,ATL N
398,Perciformes,Sparidae,Pagellus bogaraveo,Blackspot seabream,N-O,D,BP,4.2,NE,Y,GI ,2,60,1,1.67,MED
399,Perciformes,Sparidae,NA,NA,NA,NA,NA,NA,NA,NA,G,1,174,0,0,ATL N
400,Perciformes,Sparidae,Pagellus erythrinus,Common pandora,N,BP,BP,3.5,LC,Y,GI,3,54,28,51.85,MED
401,Perciformes,Sparidae,NA,NA,NA,NA,NA,NA,NA,NA,GI,2,80,2,2.5,MED
402,Perciformes,Sparidae,NA,NA,NA,NA,NA,NA,NA,NA,GI ,3,49,23,46.94,MED
403,Perciformes,Sparidae,NA,NA,NA,NA,NA,NA,NA,NA,GI,3,19,8,42.11,MED
404,Perciformes,Sparidae,NA,NA,NA,NA,NA,NA,NA,NA,G,1,370,0,0,ATL N
405,Perciformes,Sparidae,Pagrus auratus,Silver seabream,N,BP,BP,3.6,LC,Y,GI,3,22,1,4.55,PAC S
406,Perciformes,Sparidae,Pagrus pagrus,Red porgy,N,BP,BP,3.9,LC,Y,GI,3,9,7,77.78,MED
407,Perciformes,Sparidae,Sparus aurata,Gilthead seabream,N,D,BP,3.7,LC,Y,GI,3,110,48,43.64,MED
408,Perciformes,Sparidae,NA,NA,NA,NA,NA,NA,NA,NA,GI,3,20,20,100,MED
409,Perciformes,Sparidae,Spondyliosoma cantharus,Black seabream,N,BP,O,3.3,LC,Y,GI ,3,5,5,100,MED
410,Perciformes,Sparidae,NA,NA,NA,NA,NA,NA,NA,NA,G,1,284,0,0,ATL N
411,Perciformes,Sphyraenidae,Sphyraena forsteri,Bigeye barracuda,N-O,P,PP,4.4,NE,Y,GI,3,12,2,16.67,PAC S
412,Perciformes,Sphyraenidae,Sphyraena genie,Blackfin barracuda,N-O,P,PP,4.5,NE,Y,GI,1,7,1,14.29,PAC S
413,Perciformes,Sphyraenidae,Sphyraena guachancho,Guachanche barracuda,N,P,PP,4.4,NE,Y,G ,2,1,0,0,ATL S
414,Perciformes,Stromateidae,Pampus argenteus,Silver pomfret,N,BP,P,3.3,NE,Y,GI,3,18,18,100,PAC N
415,Perciformes,Stromateidae,Peprilus paru,American harvestfish,N,BP,??,4.5??,LC,Y,GI,2,2,0,0,ATL N
416,Perciformes,Teraponidae,Pelates quadrilineatus,Fourlined terapon,N,D,BP,3.6,NE,Y,GI,3,135,88,65.19,MED
417,Perciformes,Teraponidae,Terapon jarbua,Jarbua terapon,N,D,O,3.9,LC,Y,GI,3,18,18,100,PAC N
418,Perciformes,Trichiuridae,Aphanopus carbo,Black scabbardfish,O,P,PP,4.5,NE,Y,GI,2,5,0,0,ATL N
419,Perciformes,Trichiuridae,NA,NA,NA,NA,NA,NA,NA,NA,G,1,11,0,0,ATL N
420,Perciformes,Trichiuridae,Lepidopus caudatus,Silver Scabbardfish,N-O,BP,PP,3.8,NE,Y,GI,2,1,0,0,MED
421,Perciformes,Trichiuridae,Trichiurus lepturus,Largehead hairtail,N,BP,PP,4.4,NE,Y,G,1,149,1,0.67,ATL S
422,Perciformes,Trichiuridae,NA,NA,NA,NA,NA,NA,NA,NA,G,2,1,0,0,ATL N
423,Perciformes,Trichiuridae,NA,NA,NA,NA,NA,NA,NA,NA,GI,2,5,1,20,ATL N
424,Perciformes,Tripterygiidae,Helcogrammoides chilensis,n/a,N,D,BP,3.3,LC,N,GI,3,3,3,100,PAC S
425,Perciformes,Uranoscopidae,Uranoscopus scaber,Stargazer,N-O,D,BP,4.4,LC,Y,GI,3,9,7,77.78,MED
426,Perciformes,Xiphiidae,Xiphias gladius,Swordfish,O,P,PP,4.5,LC,Y,G,?,56,7,12.5,MED
427,Perciformes,Xiphiidae,NA,NA,NA,NA,NA,NA,NA,NA,G,1,31,1,3.23,PAC N
428,Perciformes,Xiphiidae,NA,NA,NA,NA,NA,NA,NA,NA,GI ,2,1,0,0,MED
429,Perciformes,Zoarcidae,Zoarces viviparus,Eelpout,N,D,BP,3.5,NE,Y,GI,3,150,0,0,ATL N
430,Pleuronectiformes ,Citharidae,Citharus linguatula,Spotted flounder,N,B,BP,4,LC,Y,GI ,2,52,1,1.92,MED
431,Pleuronectiformes ,Cynoglossidae,Cynoglossus abbreviatus,3-lined tongue sole,N,D,BP,3.5,NE,Y,GI,3,18,18,100,PAC N
432,Pleuronectiformes ,Paralichthyidae,Citharichthys sordidus,Pacific sanddab,N-O,B,BP,3.5,NE,y,GI,3,5,3,60,PAC N
433,Pleuronectiformes ,Paralichthyidae,Paralichthys brasiliensis,Brazilian flounder,N,B,BP,4.2,NE,y,G ,2,1,0,0,ATL S
434,Pleuronectiformes ,Pleuronectidae,Hippoglossus hippoglossus,Atlantic halibut,O,B,BP,4,EN,Y,GI,2,14,0,0,ATL N
435,Pleuronectiformes ,Pleuronectidae,Limanda limanda,Common dab,N,B,BP,3.4,LC,Y,GI ,2,89,4,4.49,ATL N
436,Pleuronectiformes ,Pleuronectidae,NA,NA,NA,NA,NA,NA,NA,NA,GI,3,100,0,0,ATL N
437,Pleuronectiformes ,Pleuronectidae,NA,NA,NA,NA,NA,NA,NA,NA,GI,2,19,9,47.37,ATL N
438,Pleuronectiformes ,Pleuronectidae,Pleuronectes platessa,European plaice,N,B,BP,3.2,LC,Y,GI,2,62,28,45.16,ATL N
439,Pleuronectiformes ,Pleuronectidae,Pseudopleuronectes americanus  ,Winter flounder,N,B,BP,3.6,NE,Y,n/a,NA,95,2,2.11,ATL N
440,Pleuronectiformes ,Pleuronectidae,Platichthys flesus,European flounder,N,B,BP,3.3,LC,Y,GI,2,66,56,84.85,ATL N
441,Pleuronectiformes ,Pleuronectidae,NA,NA,NA,NA,NA,NA,NA,NA,GI,2,36,2,5.56,ATL N
442,Pleuronectiformes ,Pleuronectidae,NA,NA,NA,NA,NA,NA,NA,NA,GI, ,1090,133,12.2,ATL N
443,Pleuronectiformes ,Pleuronectidae,NA,NA,NA,NA,NA,NA,NA,NA,GI,3,40,5,12.5,ATL N
444,Pleuronectiformes ,Pleuronectidae,NA,NA,NA,NA,NA,NA,NA,NA,GI,2,47,24,51.06,ATL N
445,Pleuronectiformes ,Scophthalmidae,Lepidorhombus boscii,Four-spot megrim,N-O,B,BP,3.7,NE,Y,G,2,2,1,50,ATL N
446,Pleuronectiformes ,Scophthalmidae,NA,NA,NA,NA,NA,NA,NA,NA,G,1,25914,0,0,ATL N
447,Pleuronectiformes ,Scophthalmidae,Lepidorhombus whiffiagonis,Megrim,N-O,B,BP,4.3,NE,Y,GI,2,10,1,10,ATL N
448,Pleuronectiformes ,Scophthalmidae,NA,NA,NA,NA,NA,NA,NA,NA,G,2,2,0,0,ATL N
449,Pleuronectiformes ,Scophthalmidae,NA,NA,NA,NA,NA,NA,NA,NA,G,1,6753,0,0,ATL N
450,Pleuronectiformes ,Soleidae,Buglossidium luteum,Solenette,N-O,B,BP,3.3,LC,Y,GI,2,50,13,26,ATL N
451,Pleuronectiformes ,Soleidae,Microchirus variegatus,Thickback sole,N-O,B,BP,3.3,NE ,Y,GI,2,51,12,23.53,ATL N
452,Pleuronectiformes ,Soleidae,Solea solea,Common sole,N,B,BP,3.2,NE ,Y,GI,3,533,506,94.93,MED
453,Pleuronectiformes ,Soleidae,NA,NA,NA,NA,NA,NA,NA,NA,G,2,1,0,0,ATL N
454,Pleuronectiformes ,Soleidae,NA,NA,NA,NA,NA,NA,NA,NA,GI,2,88,2,2.27,MED
455,Pleuronectiformes ,Soleidae,NA,NA,NA,NA,NA,NA,NA,NA,GI ,3,20,13,65,MED
456,Salmoniformes,Salmonidae,Oncorhynchus tshawytscha,Chinook salmon,N,BP,PP,4.4,NE,Y,GI,3,4,1,25,PAC N
457,Salmoniformes,Salmonidae,Salmo trutta,Sea trout,N,P,BP,3.4,LC,Y,GI,3,62,42,67.74,ATL N
458,Scorpaeniformes ,Cottidae,Myoxocephalus aenaeus  ,Grubby,N-O,B,BP,3.7,NE ,N,n/a,NA,47,2,4.26,ATL N
459,Scorpaeniformes ,Cottidae,Triglops nybelini,Bigeye sculpin,N-O,B,BP,3.3,NE,N,GI,3,71,24,33.8,ATL N
460,Scorpaeniformes ,Hexagrammidae,Ophiodon elongatus,Lingcod,N-O,D,BP,4.3,NE,Y,GI,3,11,1,9.09,PAC N
461,Scorpaeniformes ,Liparidae,Liparis liparis,Striped seasnail,N,B,BP,3.6,LC,Y,GI, ,220,16,7.27,ATL N
462,Scorpaeniformes ,Platycephalidae,Platycephalus bassensis,Sand flathead,N,B,BP,4.3,NE,Y,"G, GI",2,10,0,0,PAC S
463,Scorpaeniformes ,Platycephalidae,Platycephalus laevigatus,Black flathead,N,D,BP,3.8,NE,N,"G, GI",2,7,0,0,PAC S
464,Scorpaeniformes ,Scorpaenidae,Scorpaena elongata,Slender rockfish,N-O,D,BP,3.9,NE,Y,GI,2,1,0,0,MED
465,Scorpaeniformes ,Scorpaenidae,Scorpaena jacksoniensis,n/a,N,D,BP,3.9,NE,N,"G, GI",2,19,0,0,PAC S
466,Scorpaeniformes ,Scorpaenidae,Scorpaena loppei,Cadenat's rockfish,N,D,BP,3.5,LC,N,G,1,104,0,0,ATL N
467,Scorpaeniformes ,Scorpaenidae,Scorpaena scrofa,Red scorpionfish,N-O,D,BP,4.3,LC,Y,G,1,51,0,0,ATL N
468,Scorpaeniformes ,Scorpaenidae,Scorpaena sp.,n/a,NA,NA,BP,NA,NA,n/a,GI,3,19,16,84.21,MED
469,Scorpaeniformes ,Sebastidae,Helicolenus dactylopterus,Blackbelly rosefish,N-O,D,BP,3.5,NE,Y,GI ,2,380,0,0,MED
470,Scorpaeniformes ,Sebastidae,NA,NA,NA,NA,NA,NA,NA,NA,G,2,1,0,0,ATL N
471,Scorpaeniformes ,Sebastidae,NA,NA,NA,NA,NA,NA,NA,NA,G,1,3618,0,0,ATL N
472,Scorpaeniformes ,Sebastidae,Sebastes caurinus,Copper rockfish,N,D,BP,4.1,NE,Y,GI,3,1,0,0,PAC N
473,Scorpaeniformes ,Sebastidae,Sebastes flavidus,Yellowtail rockfish,N-O,BP,PP,4.2,NE,Y,GI,3,3,1,33.33,PAC N
474,Scorpaeniformes ,Sebastidae,Sebastes miniatus,Vermilion rockfish,N,D,BP,3.9,NE,Y,GI,3,3,0,0,PAC N
475,Scorpaeniformes ,Sebastidae,Sebastes mystinus,Blue rockfish,N-O,BP,P,2.7,NE,Y,GI,3,10,2,20,PAC N
476,Scorpaeniformes ,Sebastidae,Sebastiscus marmoratus,False kelpfish,N,B,BP,3.7,NE,Y,GI,3,18,18,100,PAC N
477,Scorpaeniformes ,Sebastidae,Trachyscorpia cristulata,Atlantic thornyhead,N-O,D,BP,3.9,LC,Y,G,1,49,0,0,ATL N
478,Scorpaeniformes ,Triglidae,Chelidonichthys cuculus,Red gurnard,N,B,BP,3.8,NE,Y,GI,2,66,34,51.52,ATL N
479,Scorpaeniformes ,Triglidae,NA,NA,NA,NA,NA,NA,NA,NA,G,1,3503,1,0.03,ATL N
480,Scorpaeniformes ,Triglidae,Chelidonichthys kumu,Bluefin gurnard,N,B,BP,3.7,LC,Y,GI,3,27,1,3.7,PAC S
481,Scorpaeniformes ,Triglidae,Chelidonichthys lucerna,Tub gurnard,N,B,BP,4,NE,Y,GI ,3,3,2,66.67,MED
482,Scorpaeniformes ,Triglidae,NA,NA,NA,NA,NA,NA,NA,NA,GI,3,24,9,37.5,MED
483,Scorpaeniformes ,Triglidae,NA,NA,NA,NA,NA,NA,NA,NA,GI,2,1,0,0,MED
484,Scorpaeniformes ,Triglidae,NA,NA,NA,NA,NA,NA,NA,NA,G,1,1019,0,0,ATL N
485,Scorpaeniformes ,Triglidae,Chelidonichthys obscurus,Longfin gurnard,N,B,BP,3.7,LC,Y,G,1,412,0,0,ATL N
486,Scorpaeniformes ,Triglidae,Eutrigla gurnardus,Grey gurnard,N,B,BP,3.9,NE,Y,GI,3,171,0,0,ATL N
487,Scorpaeniformes ,Triglidae,NA,NA,NA,NA,NA,NA,NA,NA,G,1,2853,0,0,ATL N
488,Scorpaeniformes ,Triglidae,Prionotus evolans,Striped searobin,N,B,BP,4.3,LC,Y,n/a,NA,1,1,100,ATL N
489,Scorpaeniformes ,Triglidae,Trigla lyra,Piper,N,B,BP,3.7,NE,Y,G,2,31,6,19.35,ATL N
490,Scorpaeniformes ,Triglidae,NA,NA,NA,NA,NA,NA,NA,NA,G,1,1488,0,0,ATL N
491,Siluriformes,Ariidae,Bagre bagre,Coco sea catfish,N,B,BP,4,LC,Y,GI,2,7,5,71.43,ATL N
492,Siluriformes,Ariidae,Bagre marinus,Gafftopsail sea catfish,N,B,BP,3.5,LC,Y,GI,2,4,4,100,ATL N
493,Siluriformes,Ariidae,Cathorops agassizii,n/a,N,B,BP,4.3,NE,N,G,2,60,20,33.33,ATL S
494,Siluriformes,Ariidae,Cathorops spixii,Madamango sea catfish,N,D,BP,3.5,NE,Y,G,2,60,11,18.33,ATL S
495,Siluriformes,Ariidae,Notarius grandicassis,Thomas sea catfish,N,B,BP,4,LC,Y,GI,2,4,0,0,ATL N
496,Siluriformes,Ariidae,Sciades herzbergii,Pemecou sea catfish,N,D,BP,3.3,NE,Y,G,2,62,11,17.74,ATL S
497,Stomiiformes,Gonostomatidae,Cyclothone acclinidens,Benttooth bristlemouth,O,P,P,3.6,NE,N,G,2,4,0,0,PAC N
498,Stomiiformes,Gonostomatidae,Cyclothone atraria,Deep-water bristlemouth,O,P,P,3.1,NE,N,G,2,3,0,0,PAC N
499,Stomiiformes,Gonostomatidae,Cyclothone pallida,Tan bristlemouth,O,P,P,3.2,NE,N,G,2,5,0,0,PAC N
500,Stomiiformes,Gonostomatidae,Cyclothone pseudopallida,Slender bristlemouth,O,P,P,3.1,NE,N,G,2,4,0,0,PAC N
501,Stomiiformes,Gonostomatidae,Gonostoma denudatum,n/a,O,P,P,3.3,LC,N,G ,3,5,5,100,ATL N
502,Stomiiformes,Phosichthyidae,Vinciguerria mabahiss,n/a,O,P,P,3.1,NE,N,GI ,3,10,0,0,IND
503,Stomiiformes,Sternoptychidae,Argyropelecus ssp.,n/a,NA,NA,n/a,NA,NA,n/a,GI,3,5,0,0,ATL N
504,Stomiiformes,Sternoptychidae,Argyropelecus affinis,Pacififc hatchet fish,O,P,P,3.1,NE,N,G,2,1,0,0,PAC N
505,Stomiiformes,Sternoptychidae,Argyropelecus hemigymnus,Half-naked hatchet fish,O,P,P,3.1,LC,N,G,2,3,0,0,PAC N
506,Stomiiformes,Sternoptychidae,Danaphos oculatus,Bottlelights,O,P,P,3,NE,Y,G,2,9,0,0,PAC N
507,Stomiiformes,Sternoptychidae,Maurolicus muelleri,Silvery lightfish,O,P,P,3,NE,Y,GI,3,282,8,2.84,ATL N
508,Stomiiformes,Sternoptychidae,Maurolicus mucronatus,n/a,O,P,P,3.1,NE,N,GI,3,10,1,10,IND
509,Stomiiformes,Sternoptychidae,Sternoptyx diaphana,Bottlelights,O,P,P,3.4,NE,N,G,2,4,1,25,PAC N
510,Stomiiformes,Sternoptychidae,Sternoptyx pseudobscura,Highlight hatchet fish,O,P,P,3.4,NE,N,G,2,6,1,16.67,PAC N
511,Stomiiformes,Stomiidae,Idiacanthus antrostomus,Pacific blackdragon,O,P,PP,3.8,NE,N,G,2,4,1,25,PAC N
512,Stomiiformes,Stomiidae,Stomias boa  ,Boa dragonfish,O,P,PP,4,NE,N,GI,3,5,2,40,ATL N
513,Stomiiformes,Stomiidae,NA,NA,O,P,NA,NA,NA,NA,G ,3,9,6,66.67,ATL N
514,Tetraodontiformes,Monacanthidae,Meuschenia scaber,Velvet leatherjacket,N,BP,G,3.1,NE,Y,GI,3,19,7,36.84,PAC S
515,Tetraodontiformes,Monacanthidae,Thamnaconus septentrionalis,n/a,N,D,O,3.4,NE,Y,GI,3,18,18,100,PAC N
516,Tetraodontiformes,Tetraodontidae,NA,NA,NA,NA,NA,NA,NA,NA,GI,2,2,0,0,ATL N
517,Tetraodontiformes,Tetraodontidae,Lagocephalus laevigatus,Smooth puffer,N-O,P,BP,4,NE,Y,G ,2,1,0,0,ATL S
518,Tetraodontiformes,Tetraodontidae,Lagocephalus spadiceus,Half-smooth gold puffie,N,D,BP,3.7,LC,N,GI,3,1,0,0,MED
519,Zeiformes,Zeidae,Zeus faber,John dory,N,BP,BP,4.5,NE,Y,GI,2,42,20,47.62,ATL N
520,Zeiformes,Zeidae,NA,NA,NA,NA,NA,NA,NA,NA,G,2,1,1,100,ATL N
521,Zeiformes,Zeidae,NA,NA,NA,NA,NA,NA,NA,NA,G,1,1346,0,0,ATL N
522,Carcharhiniformes,Carcharhinidae,Carcharhinus amboinensis,Pigeye shark,N,BP,PP,4.3,DD,Y,G,1,222,0,0,IND
523,Carcharhiniformes,Carcharhinidae,Carcharhinus brachyurus,Bronze whaler,N-O,BP,PP,4.5,NT,Y,G,1,1404,1,0.07,IND
524,Carcharhiniformes,Carcharhinidae,Carcharhinus brevipinna,Spinner shark,N-O,P,PP,4.2,NT,Y,G,1,1699,0,0,IND
525,Carcharhiniformes,Carcharhinidae,Carcharhinus leucas,Bull shark,N,BP,PP,4.3,NT,Y,G,1,661,4,0.61,IND
526,Carcharhiniformes,Carcharhinidae,Carcharhinus limbatus,Blacktip shark,N,BP,PP,4.4,NT,Y,G,1,1785,4,0.22,IND
527,Carcharhiniformes,Carcharhinidae,Carcharhinus obscurus,Dusky shark,N,BP,PP,4.3,VU,Y,G,1,2741,4,0.15,IND
528,Carcharhiniformes,Carcharhinidae,Carcharhinus plumbeus,Sandbar shark,N-O,BP,PP,4.5,VU,Y,G,1,379,0,0,IND
529,Carcharhiniformes,Carcharhinidae,Galeocerdo cuvier,Tiger shark,N-O,BP,PP,4.5,NT,Y,G,1,505,38,7.52,IND
530,Carcharhiniformes,Carcharhinidae,Prionace glauca,Blue shark,O,P,PP,4.4,NT,N,G,2,95,24,25.26,MED
531,Carcharhiniformes,Carcharhinidae,Rhizoprionodon lalandii,Brazilian sharpnose shark,N,D,PP,4.3,DD,Y,G ,2,6,2,33.33,ATL S
532,Carcharhiniformes,Triakidae,Mustelus canis,Dusky smooth-hound,N-O,D,BP,3.6,NT,Y,GI,2,2,0,0,ATL N
533,Carcharhiniformes,Triakidae,Mustelus higmani,Smalleye smooth-hound,N-O,D,BP,3.6,LC,Y,GI,2,3,0,0,ATL N
534,Carcharhiniformes,Scyliorhinidae,Galeus melastomus   ,Blackmouth catshark,N-O,D,BP,4.2,LC,Y,G,2,125,21,16.8,MED
535,Carcharhiniformes,Scyliorhinidae,NA,NA,NA,NA,NA,NA,NA,NA,GI,2,741,24,3.24,MED
536,Carcharhiniformes,Scyliorhinidae,Galeus spp. ,NA,NA,NA,NA,NA,NA,NA,G,1,2962,3,0.1,ATL N
537,Carcharhiniformes,Scyliorhinidae,Scyliorhinus canicula ,Lesser spotted dogfish,N-O,D,BP,3.8,LC,Y,G,2,20,4,20,ATL N
538,Carcharhiniformes,Scyliorhinidae,NA,NA,NA,NA,NA,NA,NA,NA,G,3,72,11,15.28,ATL N
539,Carcharhiniformes,Scyliorhinidae,NA,NA,NA,NA,NA,NA,NA,NA,GI,1,20,3,15,ATL N
540,Carcharhiniformes,Scyliorhinidae,NA,NA,NA,NA,NA,NA,NA,NA,GI ,2,1,0,0,MED
541,Carcharhiniformes,Scyliorhinidae,NA,NA,NA,NA,NA,NA,NA,NA,G,2,5,0,0,MED
542,Carcharhiniformes,Scyliorhinidae,NA,NA,NA,NA,NA,NA,NA,NA,G,1,9981,7,0.07,ATL N
543,Carcharhiniformes,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,O,P,PP,4.1,EN,Y,G,1,1916,2,0.1,IND
544,Carcharhiniformes,Sphyrnidae,Sphyrna mokarran,Great hammerhead,O,P,PP,4.3,EN,Y,G,1,177,0,0,IND
545,Carcharhiniformes,Sphyrnidae,Sphyrna tiburo,Bonnethead,N,D,BP,3.9,LC,Y,GI,2,2,2,100,ATL N
546,Carcharhiniformes,Sphyrnidae,Sphyrna zygaena,Smooth hammerhead,O,P,PP,4.9,VU,Y,G,1,1154,2,0.17,IND
547,Lamniformes,Lamnidae,Carcharodon carcharias,Great White shark,O,P,PP,4.5,VU,Y,G,1,524,2,0.38,IND
548,Lamniformes,Lamnidae,Isurus oxyrinchus,Shortfin mako shark,O,P,PP,4.5,VU,Y,G,1,231,2,0.87,IND
549,Lamniformes,Odantaspididae,Carcharias taurus,Sand tiger shark,N,BP,PP,4.5,VU,Y,G,1,2268,1,0.04,IND
550,Myliobatiformes,Dasyatidae,Hypanus americanus,Southern stingray,N,B,BP,3.5,DD,Y,G ,2,3,0,0,ATL S
551,Myliobatiformes,Dasyatidae,Pteroplatytrygon violacea  ,Pelagic stingray,O,P,PP,4.4,LC,BC,GI,2,2,1,50,MED
552,Myliobatiformes,Myliobatidae,Rhinoptera bonasus,Cownose ray,N-O,B,BP,3.2,NT,Y,GI,2,1,0,0,ATL N
553,Rajiformes,Rajidae,Dipturus oxyrinchus,Longnosed skate,N-O,B,BP,3.5,NT,Y,GI ,2,10,0,0,MED
554,Rajiformes,Rajidae,Leucoraja circularis,Sandy ray,N-O,B,BP,3.5,EN,Y,G,1,34,0,0,ATL N
555,Rajiformes,Rajidae,Leucoraja naevus,Cuckoo ray,N-O,B,BP,4.2,LC,Y,G,1,381,1,0.26,ATL N
556,Rajiformes,Rajidae,Raja asterias,Mediterranean starry ray,N,D,BP,3.5,LC,Y,G,2,7,3,42.86,ATL N
557,Rajiformes,Rajidae,Raja clavata,Thornback ray,N,B,BP,3.8,NT,Y,GI,2,2,0,0,MED
558,Rajiformes,Rajidae,NA,NA,NA,NA,NA,NA,NA,NA,G,1,2705,0,0,ATL N
559,Rajiformes,Rajidae,Raja montagui,Spotted ray,N,B,BP,3.9,LC,Y,G,1,1421,0,0,ATL N
560,Squaliformes,Centrophoridae,Centrophorus granulosus,gulper shark,O,D,PP,4.1,VU,Y,GI ,2,5,0,0,MED
561,Squaliformes,Centrophoridae,Deania calcea,Birdbeak dogfish,O,BP,PP,4.3,LC,Y,G,1,130,0,0,ATL N
562,Squaliformes,Etmopteridae,Etmopterus spinax  ,Velvet-belly lanternshark,O,D,PP,4.1,LC,Y,GI,2,16,1,6.25,MED
563,Squaliformes,Etmopteridae,NA,NA,NA,NA,NA,NA,NA,NA,"G, GI, I",1,13,1,7.69,MED
564,Squaliformes,Etmopteridae,NA,NA,NA,NA,NA,NA,NA,NA,G,2,8,4,50,MED
565,Squaliformes,Etmopteridae,NA,NA,NA,NA,NA,NA,NA,NA,G,1,756,0,0,ATL N
566,Squaliformes,Somniosidae,Centroscymnus coelolepis,Portuguese dogfish,O,D,PP,4.5,NT,Y,"G, GI, I",1,54,1,1.85,MED
567,Squaliformes,Somniosidae,Scymnodon ringens,Knifetooth dogfish,O,BP,PP,3.9,DD,Y,G,1,49,0,0,ATL N
568,Squaliformes,Squalidae,Squalus acanthias,Picked dogfish,N-O,BP,PP,4.4,VU,Y,GI,3,9,4,44.44,MED
569,Squaliformes,Squalidae,NA,NA,NA,NA,NA,NA,NA,NA,GI ,2,10,0,0,MED
570,Squaliformes,Squalidae,Squalus blainville,Longnose spurdog,N-O,D,PP,4,DD,Y,GI,2,75,1,1.33,MED
571,Torpediniformes,Narcinidae,Narcine brasiliensis,Brazilian electric ray,N,B,BP,3.2,DD,Y,GI,2,6,1,16.67,ATL N
572,Torpediniformes,Torpedinidae,Torpedo torpedo,Common torpedo,N,D,BP,4.5,DD,N,G,2,1,0,0,ATL N
573,Chimaeriformes,Chimaeridae,Chimera monstrosa,Ratfish,N,D,BP,3.5,NT,BC,G,2,2,0,0,MED
