"","X","order","family","species","common_name","Neritic_Oceanic","Bentho_Pelagic","feeding_strategy","trophic_level","IUCN","fisheries_interest","G.GI","method","N","n_fish_ingested","FO","Region"
"144",144,"Myctophiformes","Myctophidae","Myctophum punctatum","Spotted lanternfish","O","P","P","3.4","NE","N","G ","3",86,"64",74.42,"ATL N"
"145",145,"Myctophiformes","Myctophidae","Myctophum punctatum","Spotted lanternfish","O","P","P","3.4","NE","N","GI","3",3,"0",0,"ATL N"
"146",146,"Myctophiformes","Myctophidae","Nannobrachium fernae","n/a","O","P","P","3.1","NE","N","G","2",1,"0",0,"PAC N"
"147",147,"Myctophiformes","Myctophidae","Nannobrachium hawaiiensis","n/a","O","P","P","3.1","NE","N","G","2",17,"0",0,"PAC N"
"148",148,"Myctophiformes","Myctophidae","Nannobrachium regale","Pinpoint lampfish","O","P","P","3.2","NE","N","G","2",1,"0",0,"PAC N"
"149",149,"Myctophiformes","Myctophidae","Notolychnus valdiviae","Topside lampfish","O","P","P","3.1","NE","Y","G","2",3,"0",0,"PAC N"
"150",150,"Myctophiformes","Myctophidae","Notoscopelus kroyeri","Lancet fish","O","P","P","3.2","NE","N","GI","3",417,"60",14.39,"ATL N"
"151",151,"Myctophiformes","Myctophidae","Notoscopelus resplendens","Patchwork lampfish","O","P","P","3","NE","Y","G","2",3,"0",0,"PAC N"
"152",152,"Myctophiformes","Myctophidae","Symbolophorus evermanni","Evermann's lanternfish","O","P","P","3.4","NE","N","n/a","1",14,"1",7.14,"PAC N"
"153",153,"Myctophiformes","Myctophidae","Taaningichthys bathyphilus","Deepwater lanternfish","O","P","P","3.1","NE","Y","G","2",3,"0",0,"PAC N"
"154",154,"Ophidiiformes","Bythidiae","Cataetyx laticeps","n/a","O","D","BP","3.8","NE","N","G, GI, I","1",10,"1",10,"MED"
"155",155,"Osmeriformes","Alepocephalidae","Alepocephalus rostratus","Risso's smooth-head","O","D","BP","3.7","NE","N","G, GI, I","1",158,"0",0,"MED"
"156",156,"Osmeriformes","Alepocephalidae","Xenodermichthys copei","Bluntsnout smooth-head","O","P","P","3.2","NE","N","GI","3",5,"3",60,"ATL N"
"157",157,"Osmeriformes","Argentinidae","Argentina silus","Greater argentine","O","P","P","3.3","NE","Y","GI","2",15,"1",6.67,"ATL N"
"158",158,"Osmeriformes","Osmeridae","Osmerus eperlanus","European smelt","N","BP","P","3.5","LC","Y","GI","2",10,"2",20,"ATL N"
"159",159,"Perciformes","Acanthuridae","Acanthurus coeruleus","Blue tang surgeonfish","N","B","G","2","LC","Y","G ","2",1,"0",0,"ATL S"
"160",160,"Perciformes","Acanthuridae","Acanthurus gahhm","Black surgeonfish","N","B","O","2.8","LC","Y","GI ","3",10,"1",10,"IND"
"161",161,"Perciformes","Acanthuridae","Acanthurus lineatus","Lined surgeonfish","N","B","G","2","LC","Y","GI","3",24,"4",16.67,"PAC S"
"162",162,"Perciformes","Acanthuridae","Acanthurus sohal","Sohal surgeonfish","N","B","G","2","LC","Y","GI","3",3,"0",0,"IND"
"163",163,"Perciformes","Acanthuridae","Ctenochaetus striatus","Striated surgeonfish","N","B","G","2","LC","Y","GI","3",27,"7",25.93,"PAC S"
"164",164,"Perciformes","Acanthuridae","Ctenochaetus striatus","Striated surgeonfish","N","B","G","2","LC","Y","GI","3",29,"6",20.69,"PAC S"
"165",165,"Perciformes","Acanthuridae","Naso brachycentron","Humpback unicornfish","N","B","G","2.7","LC","Y","GI","1",1,"0",0,"PAC S"
"166",166,"Perciformes","Acanthuridae","Naso lituratus","Orangespine unicornfish","N","B","G","2.3","LC","Y","GI","3",28,"4",14.29,"PAC S"
"167",167,"Perciformes","Acanthuridae","Naso unicornis","Bluespine unicornfish","N","B","G","2.2","LC","Y","GI","3",30,"6",20,"PAC S"
"168",168,"Perciformes","Acanthuridae","Naso unicornis","Bluespine unicornfish","N","B","G","2.2","LC","Y","GI","3",2,"0",0,"IND"
"169",169,"Perciformes","Ammodytidae","Ammodytes personatus","Pacific sandlance","N","B","P","3.1","NE","Y","GI","2",734,"11",1.5,"PAC N"
"170",170,"Perciformes","Arripidae","Arripis sp.","Australian salmon","N","B","P","3.1","NE","n/a","G, GI","2",9,"0",0,"PAC S"
"171",171,"Perciformes","Blennidae","Scartichthys viridis","n/a","N","B","G","2.2","LC","N","GI","3",19,"19",100,"PAC S"
"172",172,"Perciformes","Bramidae","Brama brama","Atlantic pomfret","O","P","PP","4.1","NE","Y","G","2",3,"1",33.33,"ATL N"
"173",173,"Perciformes","Bramidae","Brama brama","Atlantic pomfret","O","P","PP","4.1","NE","Y","GI ","2",9,"0",0,"MED"
"174",174,"Perciformes","Callionymidae","Callionymus lyra","Dragonet","N","D","BP","3.3","NE","Y","GI","2",50,"19",38,"ATL N"
"175",175,"Perciformes","Callionymidae","Callionymus lyra","Dragonet","N","D","BP","3.3","NE","Y","G","1",2116,"0",0,"ATL N"
"176",176,"Perciformes","Callionymidae","Callionymus planus","Japanese darter dragonet","N","B","BP","3.3","NE","N","GI","3",18,"18",100,"PAC N"
"177",177,"Perciformes","Carangidae","Caranx crysos","Blue runner","N","P","PP","4.1","LC","Y","GI","3",1,"1",100,"MED"
"178",178,"Perciformes","Carangidae","Caranx crysos","Blue runner","N","P","PP","4.1","LC","Y","G ","2",3,"0",0,"ATL S"
"179",179,"Perciformes","Carangidae","Caranx crysos","Blue runner","N","P","PP","4.1","LC","Y","GI","2",3,"0",0,"ATL N"
"180",180,"Perciformes","Carangidae","Caranx hippos","Crevalle jack","N-O","BP","BP","3.6","LC","Y","GI","2",3,"3",100,"ATL N"
"181",181,"Perciformes","Carangidae","Caranx melampygus","Bluefin trevally","N-O","BP","PP","4.5","LC","Y","GI","1",1,"0",0,"PAC S"
"182",182,"Perciformes","Carangidae","Caranx papuensis","Brassy trevally","N","P","PP","4","NE","Y","GI","3",32,"14",43.75,"PAC S"
"183",183,"Perciformes","Carangidae","Caranx sexfasciatus","Bigeye trevally","N-O","BP","PP","4.5","LC","Y","GI","1",3,"0",0,"PAC S"
"184",184,"Perciformes","Carangidae","Decapterus macrosoma","Shortfin scad","N","P","P","3.4","NE","Y","GI","3",17,"5",29.41,"IND"
"185",185,"Perciformes","Carangidae","Decapterus macrosoma","Shortfin scad","N","P","P","3.4","NE","Y","GI","3",25,"7",28,"PAC S"
"186",186,"Perciformes","Carangidae","Decapterus muroadsi","Amberstripe scad","N-O","P","P","3.4","LC","Y","GI","3",25,"16",64,"PAC S"
"187",187,"Perciformes","Carangidae","Decapterus muroadsi","Amberstripe scad","N-O","P","P","3.4","LC","Y","GI","2",20,"16",80,"PAC S"
"188",188,"Perciformes","Carangidae","Selar boops","Oxeye scad","N","BP","P","3.5","NE","Y","GI","3",7,"0",0,"IND"
"189",189,"Perciformes","Carangidae","Selene setapinnis","Atlantic moofish","N","BP","PP","3.7","LC","Y","GI","2",1,"0",0,"ATL N"
"190",190,"Perciformes","Carangidae","Selene vomer","Lookdown","N","D","BP","4.3","LC","Y","GI","2",2,"1",50,"ATL N"
"191",191,"Perciformes","Carangidae","Seriola lalandi ","Yellowtail kingfish","N-O","BP","PP","4.2","NE","Y","GI","2",19,"2",10.53,"PAC N"
"192",192,"Perciformes","Carangidae","Seriola lalandi ","Yellowtail kingfish","N-O","BP","PP","4.2","NE","Y","GI","3",15,"3",20,"PAC S"
"193",193,"Perciformes","Carangidae","Seriola lalandi ","Yellowtail kingfish","N-O","BP","PP","4.2","NE","Y","GI","1",10,"0",0,"PAC S"
"194",194,"Perciformes","Carangidae","Trachinotus ovatus","Pompano","N","P","BP","3.7","LC","Y","G","2",115,"28",24.35,"MED"
"195",195,"Perciformes","Carangidae","Trachurus declivis","Greenback horse mackerel","N-O","BP","P","3.9","NE","Y","G, GI","2",23,"0",0,"PAC S"
"196",196,"Perciformes","Carangidae","Trachurus mediterraneus","Med Horse mackerel","O","P","PP","3.8","LC","Y","GI","3",98,"67",68.37,"MED"
"197",197,"Perciformes","Carangidae","Trachurus mediterraneus","Med Horse mackerel","O","P","PP","3.8","LC","Y","GI","2",2,"0",0,"MED"
"198",198,"Perciformes","Carangidae","Trachurus novaezelandiae","Yellowtail horse mackerel","O","P","P","3.2","NE","Y","GI","3",31,"1",3.23,"PAC S"
"199",199,"Perciformes","Carangidae","Trachurus picturatus","Blue jack mackerel","N","BP","P","3.3","NE","Y","G","2",29,"1",3.45,"ATL N"
"200",200,"Perciformes","Carangidae","Trachurus picturatus","Blue jack mackerel","N","BP","P","3.3","NE","Y","GI ","2",9,"0",0,"MED"
"201",201,"Perciformes","Carangidae","Trachurus trachurus","Atlantic horse mackerel","N-O","P","BP","3.7","NE","Y","GI","2",56,"16",28.57,"ATL N"
"202",202,"Perciformes","Carangidae","Trachurus trachurus","Atlantic horse mackerel","N-O","P","BP","3.7","NE","Y","GI","3",100,"1",1,"ATL N"
"203",203,"Perciformes","Carangidae","Trachurus trachurus","Atlantic horse mackerel","N-O","P","BP","3.7","NE","Y","G","2",44,"3",6.82,"ATL N"
"204",204,"Perciformes","Carangidae","Trachurus trachurus","Atlantic horse mackerel","N-O","P","BP","3.7","NE","Y","GI","2",5,"0",0,"ATL N"
"205",205,"Perciformes","Carangidae","Trachurus trachurus","Atlantic horse mackerel","N-O","P","BP","3.7","NE","Y","GI","2",50,"12",24,"MED"
"206",206,"Perciformes","Centrolophidae","Psenopsis anomala","Pacific rudderfish","N","BP","P","4","LC","Y","GI","3",18,"18",100,"PAC N"
"207",207,"Perciformes","Centrolophidae","Schedophilus ovalis","Imperial blackfish","O","BP","P","3.5","NE","Y","GI","2",3,"0",0,"MED"
"208",208,"Perciformes","Centrolophidae","Schedophilus velaini","Violet warehou","O","P","PP","4.2","LC","Y","GI","3",14,"8",57.14,"PAC S"
"209",209,"Perciformes","Cepolidae","Cepola macrophthalma","Red bandfish","N","D","P","3.1","NE","Y","GI","2",62,"20",32.26,"ATL N"
"210",210,"Perciformes","Chaetodontidae","Chaetodon austriacus","Blacktail butterflyfish","N","B","G","3.3","LC","N","GI ","3",10,"1",10,"IND"
"211",211,"Perciformes","Cheilodactylidae","Nemadactylus macropterus","Tarakihi","N","D","BP","3.4","NE","Y","GI","3",23,"2",8.7,"PAC S"
"212",212,"Perciformes","Coryphaenidae","Coryphaena hippurus","Common dolphinfish","N-O","P","PP","4.4","LC","Y","GI","3",10,"2",20,"PAC S"
"213",213,"Perciformes","Coryphaenidae","Coryphaena hippurus","Common dolphinfish","N-O","P","PP","4.4","LC","Y","G","1",42,"1",2.38,"PAC N"
"214",214,"Perciformes","Coryphaenidae","Coryphaena hippurus","Common dolphinfish","N-O","P","PP","4.4","LC","Y","GI","1",1,"0",0,"PAC S"
"215",215,"Perciformes","Eleotridae","Oxyeleotris marmorata","Marble goby","N","B","BP","3.9","LC","Y","GI","3",18,"18",100,"PAC N"
"216",216,"Perciformes","Ephippidae","Chaetodipterus faber","Atlantic spadefish","N","D","BP","4.5 ??","LC","Y","G ","2",103,"48",46.6,"ATL N"
"217",217,"Perciformes","Ephippidae","Chaetodipterus faber","Atlantic spadefish","N","D","BP","4.5 ??","LC","Y","GI","2",5,"0",0,"ATL N"
"218",218,"Perciformes","Epigonidae","Epigonus telescopus","Black cardinal fish","O","BP","BP","3.6","NE","Y","GI ","2",4,"0",0,"MED"
"219",219,"Perciformes","Gempylidae","Gempylus serpens","Snake mackarel","O","P","PP","4.4","NE","Y","G","1",104,"1",0.96,"PAC N"
"220",220,"Perciformes","Gempylidae","Lepidocybium flavobrunneum","Escolar","O","P","PP","4.3","NE","Y","G","1",45,"0",0,"PAC N"
"221",221,"Perciformes","Gempylidae","Thyrsites atun","Snoek","N-O","BP","PP","3.6","NE","Y","GI","3",28,"8",28.57,"PAC S"
"222",222,"Perciformes","Gempylidae","Thyrsites atun","Snoek","N-O","BP","PP","3.6","NE","Y","G, GI","2",2,"0",0,"PAC S"
"223",223,"Perciformes","Gerreidae","Diapterus rhombeus","Caitipa mojarra","N","D","BP","3","NE","Y","G","2",44,"5",11.36,"ATL S"
"224",224,"Perciformes","Gerreidae","Eugerres brasilianus","Brazilian mojarra","N","D","BP","3.4","NE","Y","G","2",240,"39",16.25,"ATL S"
"225",225,"Perciformes","Gerreidae","Eucinostomus melanopterus","Flagfin mojarra","N","D","O","3.4","NE","Y","G","2",141,"13",9.22,"ATL S"
"226",226,"Perciformes","Gerreidae","Gerres subfasciatus","Common silver belly","n/a","D","n/a","3.3","LC","Y","GI","2",24,"5",20.83,"PAC S"
"227",227,"Perciformes","Gobiidae","Pomatoschistus minutus","Sand goby","N","B","BP","3.2","NE","N","GI"," ",200,"15",7.5,"ATL N"
"228",228,"Perciformes","Gobiidae","Synechogobius ommaturus","Asian freshwater goby","N","B","BP","3.5","NE","N","GI","3",18,"18",100,"PAC N"
"229",229,"Perciformes","Haemulidae","Synechogobius ommaturus","Asian freshwater goby","N","B","BP","3.5","NE","N","GI","2",1,"0",0,"ATL N"
"230",230,"Perciformes","Haemulidae","Anisotremus virginicus","Porkfish","N","D","BP","3.6","LC","Y","GI","2",1,"0",0,"ATL N"
"231",231,"Perciformes","Haemulidae","Conodon nobilis","Barred grunt","N","D","BP","3.6","LC","Y","GI","2",8,"0",0,"ATL N"
"232",232,"Perciformes","Haemulidae","Genyatremus luteus","Torroto grunt","N","D","O","3.5","NE","Y","GI","2",8,"0",0,"ATL N"
"233",233,"Perciformes","Haemulidae","Haemulon plunierii","White grunt","N","D","BP","3.8","LC","Y","GI","2",13,"0",0,"ATL N"
"234",234,"Perciformes","Haemulidae","Haemulon steindachneri","Chere-chere grunt","N","D","BP","3.7","LC","Y","GI","2",5,"0",0,"ATL N"
"235",235,"Perciformes","Haemulidae","Orthopristis chrysoptera","Grunt, pigfish","N","D","BP","3.4","LC","Y","G ","2",157,"42",26.75,"ATL N"
"236",236,"Perciformes","Haemulidae","Orthopristis ruber","Corocoro grunt","N","D","BP","3.6","LC","Y","GI","2",2,"0",0,"ATL N"
"237",237,"Perciformes","Haemulidae","Plectorhinchus gaterinus","Blackspotted subberlip","N","B","BP","4","NE","Y","GI","3",6,"2",33.33,"IND"
"238",238,"Perciformes","Haemulidae","Pomadasys incisus","Bastard grunt","N","D","BP","3.8","LC","Y","GI","3",29,"16",55.17,"MED"
"239",239,"Perciformes","Kuhliidae","Kuhlia sandvicensis","Hawaiian flagtail","n/a","D","n/a","3.8","NE","Y","GI","1",15,"3",20,"PAC S"
"240",240,"Perciformes","Kyphosidae","Girella laevifrons","n/a","N","P","G","2.6","NE","N","GI","3",16,"16",100,"PAC S"
"241",241,"Perciformes","Kyphosidae","Girella tricuspidata","Parore","N","BP","G","2.1","NE","y","GI","3",20,"14",70,"PAC S"
"242",242,"Perciformes","Kyphosidae","Graus nigra","n/a","N","D","BP","3.4","NE","Y","GI","3",8,"8",100,"PAC S"
"243",243,"Perciformes","Kyphosidae","Kyphosus pacificus","Pacific drummer","n/a","D","n/a","3.4","NE","Y","GI","1",15,"0",0,"PAC S"
"244",244,"Perciformes","Kyphosidae","Kyphosus sandwicensis","Pacific chub","N","D","G","3.4","NE","Y","GI","3",39,"20",51.28,"PAC S"
"245",245,"Perciformes","Kyphosidae","Kyphosus sydneyanus","Silver drummer","N","B","G","2","NE","Y","GI","1",10,"0",0,"PAC S"
"246",246,"Perciformes","Labridae","Coris aygula","Clown coris","N","D","BP","3.7","LC","Y","GI","1",1,"0",0,"PAC S"
"247",247,"Perciformes","Labridae","Notolabrus tetricus","Blue-throated wrasse","N","D","BP","3.6","LC","Y","G, GI","2",7,"0",0,"PAC S"
"248",248,"Perciformes","Labridae","Oxycheilinus unifasciatus","Ringtail maori wrasse","N","BP","BP","4.1","LC","Y","GI","1",1,"0",0,"PAC S"
"249",249,"Perciformes","Labridae","Thalassoma purpureum","Surge wrasse","N","D","BP","3.8","LC","Y","GI","1",2,"1",50,"PAC S"
"250",250,"Perciformes","Labridae","Thalassoma rueppellii","Klunzinger's wrasse","N","D","BP","3.5","LC","Y","GI","3",12,"1",8.33,"IND"
"251",251,"Perciformes","Labridae","Thalassoma trilobatum","Christmas wrasse","N","D","BP","3.8","LC","Y","GI","1",4,"1",25,"PAC S"
"252",252,"Perciformes","Labrisomidae","Auchenionchus microcirrhis","n/a","N","D","BP","3.7","LC","N","GI","3",16,"16",100,"PAC S"
"253",253,"Perciformes","Lateolabracidae","Lateolabrax japonicus","Japanese seabass","N","BP","P","3.4","NE","Y","GI","3",18,"18",100,"PAC N"
"254",254,"Perciformes","Latidae","Lates calcarifer","Barramundi","N","D","BP","3.8","NE","Y","GI","3",2,"2",100,"PAC N"
"255",255,"Perciformes","Leiognathidae","Photopectoralis bindus","Orangefin ponyfish","N","D","O","2.9","NE","y","GI","3",18,"18",100,"PAC N"
"256",256,"Perciformes","Lethrinidae","Gnathodentex aurolineatus","Striped large-eye bream","N","D","BP","3.7","NE","Y","GI","3",29,"2",6.9,"PAC S"
"257",257,"Perciformes","Lethrinidae","Gymnocranius grandoculis","Blue-lined large-eye bream","N","D","BP","3.8","LC","N","GI ","3",10,"2",20,"IND"
"258",258,"Perciformes","Lethrinidae","Lethrinus amboinensis","Ambon emperor","N","D","BP","4","NE","Y","GI","3",26,"6",23.08,"PAC S"
"259",259,"Perciformes","Lethrinidae","Lethrinus microdon","Smalltooth emperor","N","D","BP","3.8","LC","Y","GI","3",10,"2",20,"IND"
"260",260,"Perciformes","Lethrinidae","Lethrinus obsoletus","Orange-striped emperor","N","D","BP","3.9","NE","Y","GI","3",30,"4",13.33,"PAC S"
"261",261,"Perciformes","Lutjanidae","Lipocheilus carnolabrum","Tang's snapper","N","D","BP","3.9","LC","Y","GI","3",7,"2",28.57,"IND"
"262",262,"Perciformes","Lutjanidae","Lutjanus analis","Mutton snapper","N","D","BP","3.9","NT","Y","GI","2",3,"1",33.33,"ATL N"
"263",263,"Perciformes","Lutjanidae","Lutjanus analis","Mutton snapper","N","D","BP","3.9","NT","Y","G ","2",2,"0",0,"ATL S"
"264",264,"Perciformes","Lutjanidae","Lutjanus gibbus","Humpback red snapper","N","BP","BP","4.1","LC","Y","GI","3",29,"6",20.69,"PAC S"
"265",265,"Perciformes","Lutjanidae","Lutjanus gibbus","Humpback red snapper","N","BP","BP","4.1","LC","Y","GI","3",5,"0",0,"IND"
"266",266,"Perciformes","Lutjanidae","Lutjanus gibbus","Humpback red snapper","N","BP","BP","4.1","LC","Y","GI","1",1,"0",0,"PAC S"
"267",267,"Perciformes","Lutjanidae","Lutjanus jocu","Dog snapper","N","D","BP","4.4","NE","Y","G ","2",5,"0",0,"ATL S"
"268",268,"Perciformes","Lutjanidae","Lutjanus kasmira","Bluestripe snapper","N","D","BP","3.9","LC","Y","GI ","3",12,"2",16.67,"IND"
"269",269,"Perciformes","Lutjanidae","Lutjanus synagris","Lane snapper","N","D","BP","3.8","NT","Y","GI","2",2,"1",50,"ATL N"
"270",270,"Perciformes","Lutjanidae","Pristipomoides multidens","Gold banded jobfish","N","D","BP","3.8","LC","Y","GI","3",10,"2",20,"IND"
"271",271,"Perciformes","Lutjanidae","Pristipomoides typus","Sharptooth jobfish","N","D","BP","4.2","LC","N","GI","3",5,"0",0,"IND"
"272",272,"Perciformes","Malacanthidae","Branchiostegus japonicus","Horsehead tilefish","N","D","P","3.4","LC","Y","GI","3",18,"18",100,"PAC N"
"273",273,"Perciformes","Moronidae","Dicentrarchus labrax","European seabass","N","D","BP","3.5","LC","Y","GI","3",40,"9",22.5,"ATL N"
"274",274,"Perciformes","Moronidae","Morone americana  ","White perch","N","D","BP","3.1","LC","Y","n/a","3",12,"4",33.33,"ATL N"
"275",275,"Perciformes","Moronidae","Morone saxatilis","Striped bass","N","D","BP","4.7??","LC","Y","GI","3",7,"2",28.57,"PAC N"
"276",276,"Perciformes","Moronidae","Morone saxatilis","Striped bass","N","D","BP","4.7??","LC","Y","n/a","1",1094,"1",0.09,"ATL N"
"277",277,"Perciformes","Mullidae","Mulloidichthys flavolineatus","Yellowstripe goatfish","N","B","BP","3.8","LC","Y","GI","1",2,"0",0,"PAC S"
"278",278,"Perciformes","Mullidae","Mullus barbatus","Red mullet","N","D","BP","3.1","NE","Y","GI","3",11,"7",63.64,"MED"
"279",279,"Perciformes","Mullidae","Mullus barbatus","Red mullet","N","D","BP","3.1","NE","Y","G","3",128,"24",18.75,"MED"
"280",280,"Perciformes","Mullidae","Mullus barbatus","Red mullet","N","D","BP","3.1","NE","Y","GI","3",207,"136",65.7,"MED"
"281",281,"Perciformes","Mullidae","Mullus barbatus","Red mullet","N","D","BP","3.1","NE","Y","GI","3",12,"11",91.67,"MED"
"282",282,"Perciformes","Mullidae","Mullus barbatus","Red mullet","N","D","BP","3.1","NE","Y","GI ","2",148,"11",7.43,"MED"
"283",283,"Perciformes","Mullidae","Mullus barbatus","Red mullet","N","D","BP","3.1","NE","Y","GI","3",25,"8",32,"MED"
"284",284,"Perciformes","Mullidae","Mullus barbatus","Red mullet","N","D","BP","3.1","NE","Y","GI","3",25,"8",32,"MED"
"285",285,"Perciformes","Mullidae","Mullus surmuletus","Surmullet","N","B","BP","3.5","NE","Y","G","2",4,"4",100,"ATL N"
"286",286,"Perciformes","Mullidae","Mullus surmuletus","Surmullet","N","B","BP","3.5","NE","Y","GI","3",51,"33",64.71,"MED"
"287",287,"Perciformes","Mullidae","Mullus surmuletus","Surmullet","N","B","BP","3.5","NE","Y","G","2",417,"114",27.34,"MED"
