order,family,species,common_name,habitat,feeding_strategy,trophic_level,IUCN,fisheries_interest,G/GI,method,N,n_fish_ingested,FO
Perciformes,Carangidae,Oligoplites palometa,Maracaibo leatherjacket,"N, BP",BP,4.3,LC,Y,GI,2,8,,no
Perciformes,Carangidae,Oligoplites saliens,Castin leatherjacket,"N, BP",P,3.8,LC,Y,GI,2,2,,no
Perciformes,Carangidae,Oligoplites saurus,Leatherjacket,"N, P",PP,4.3,NE,Y,GI,2,22,,yes
Perciformes,Carangidae,Selar boops,Oxeye scad,"N, BP",P,3.5,NE,Y,GI,3,7,0,0.00
Perciformes,Carangidae,Selene setapinnis,Atlantic moofish,"N, BP",PP,3.7,LC,Y,GI,2,1,0,0.00
Perciformes,Carangidae,Selene vomer,Lookdown,"N, D",BP,4.3,LC,Y,GI,2,2,1,50.00
Perciformes,Carangidae,,,,,,,,GI,2,2,,no
Perciformes,Carangidae,Seriola lalandi ,Yellowtail kingfish,"N-O, BP",PP,4.2,NE,Y,GI,2,19,2,10.53
Perciformes,Carangidae,,,,,,,,GI,3,15,3,20.00
Perciformes,Carangidae,,,,,,,,GI,1,10,0,0.00
Perciformes,Carangidae,Trachinotus ovatus,Pompano,"N, P",BP,3.7,LC,Y,G,2,115,28,24.35
Perciformes,Carangidae,Trachurus declivis,Greenback horse mackerel,"N-O, BP",P,3.9,NE,Y,"G, GI",2,23,0,0.00
Perciformes,Carangidae,Trachurus mediterraneus,Med Horse mackerel,"O, P",PP,3.8,LC,Y,GI,3,98,67,68.37
Perciformes,Carangidae,,,,,,,,GI,2,2,0,0.00
Perciformes,Carangidae,Trachurus novaezelandiae,Yellowtail horse mackerel,"O, P",P,3.2,NE,Y,GI,3,31,1,3.23
Perciformes,Carangidae,Trachurus picturatus,Blue jack mackerel,"N, BP",P,3.3,NE,Y,G,2,29,1,3.45
Perciformes,Carangidae,,,,,,,,GI ,2,9,0,0.00
Perciformes,Carangidae,Trachurus trachurus,Atlantic horse mackerel,"N-O, P",BP,3.7,NE,Y,GI,2,56,16,28.57
Perciformes,Carangidae,,,,,,,,GI,3,100,1,1.00
Perciformes,Carangidae,,,,,,,,G,2,44,3,6.82
Perciformes,Carangidae,,,,,,,,GI,2,5,0,0.00
Perciformes,Carangidae,,,,,,,,GI,2,50,12,24.00
Perciformes,Centrolophidae,Psenopsis anomala,Pacific rudderfish,"N, BP",P,4,LC,Y,GI,3,18,18,100.00
Perciformes,Centrolophidae,Schedophilus ovalis,Imperial blackfish,"O, BP",P,3.5,NE,Y,GI,2,3,0,0.00
Perciformes,Centrolophidae,Schedophilus velaini,Violet warehou,"O, P",PP,4.2,LC,Y,GI,3,14,8,57.14
Perciformes,Centropomidae,Centropomus ensiferus,Swordspine snook,"N, BP",BP,4.2,LC,Y,GI,2,1,,no
Perciformes,Centropomidae,Centropomus undecimalis,Common snook,"N, BP",BP,4.2,LC,Y,GI,2,2,,no
Perciformes,Cepolidae,Cepola macrophthalma,Red bandfish,"N, D",P,3.1,NE,Y,GI,2,62,20,32.26
Perciformes,Chaetodontidae,Chaetodon austriacus,Blacktail butterflyfish,"N, B",G,3.3,LC,N,GI ,3,10,1,10.00
Perciformes,Cheilodactylidae,Nemadactylus macropterus,Tarakihi,"N, D",BP,3.4,NE,Y,GI,3,23,2,8.70
Perciformes,Coryphaenidae,Coryphaena hippurus,Common dolphinfish,"N-O, P",PP,4.4,LC,Y,GI,3,10,2,20.00
Perciformes,Coryphaenidae,,,,,,,,G,1,42,1,2.38
Perciformes,Coryphaenidae,,,,,,,,GI,2,2,,yes
Perciformes,Coryphaenidae,,,,,,,,n/a,,n/a,,yes
Perciformes,Coryphaenidae,,,,,,,,GI,1,1,0,0.00
Perciformes,Eleotridae,Oxyeleotris marmorata,Marble goby,"N, B",BP,3.9,LC,Y,GI,3,18,18,100.00
Perciformes,Ephippidae,Chaetodipterus faber,Atlantic spadefish,"N, D",BP,4.5 ??,LC,Y,G ,2,103,48,46.60
Perciformes,Ephippidae,,,,,,,,GI,2,6,,yes
Perciformes,Ephippidae,,,,,,,,GI,2,5,0,0.00
Perciformes,Epigonidae,Epigonus telescopus,Black cardinal fish,"O, BP",BP,3.6,NE,Y,GI ,2,4,0,0.00
Perciformes,Gempylidae,Gempylus serpens,Snake mackarel,"O, P",PP,4.4,NE,Y,G,1,104,1,0.96
Perciformes,Gempylidae,Lepidocybium flavobrunneum,Escolar,"O, P",PP,4.3,NE,Y,G,1,45,0,0.00
Perciformes,Gempylidae,Thyrsites atun,Snoek,"N-O, BP",PP,3.6,NE,Y,GI,3,28,8,28.57
Perciformes,Gempylidae,,,,,,,,"G, GI",2,2,0,0.00
Perciformes,Gerreidae,Diapterus auratus,Irish mojarra,"N, D",BP,2.4,LC,Y,GI,2,29,,yes
Perciformes,Gerreidae,Diapterus rhombeus,Caitipa mojarra,"N, D",BP,3,NE,Y,G,,44,5,11.36
Perciformes,Gerreidae,,,,,,,,GI,2,31,,yes
Perciformes,Gerreidae,Eugerres brasilianus,Brazilian mojarra,"N, D",BP,3.4,NE,Y,G,,240,39,16.25
Perciformes,Gerreidae,,,,,,,,GI,2,64,,yes
Perciformes,Gerreidae,Eucinostomus argenteus,Silver mojarra,"N,D",O,3.2,LC,Y,GI,2,98,,yes
Perciformes,Gerreidae,Eucinostomus melanopterus,Flagfin mojarra,"N, D",O,3.4,NE,Y,G,,141,13,9.22
Perciformes,Gerreidae,,,,,,,,GI,2,21,,no
Perciformes,Gerreidae,Gerres subfasciatus,Common silver belly,n/a,n/a,3.3,LC,Y,GI,2,24,5,20.83
Perciformes,Gobiidae,Bathygobius soporator,Frillfin goby,"N, B",BP,3.7,LC,N,GI,2,6,,no
Perciformes,Gobiidae,Ctenogobius boleosoma,Darter goby,"N, B",BP,3.3,LC,n/a,GI,2,27,,yes
Perciformes,Gobiidae,Ctenogobius stigmaticus,Marked goby,"N, B",BP,3.4,LC,N,GI,2,3,,no
Perciformes,Gobiidae,Gobionellus oceanicus,Highfin goby,"N, B",BP,3.4,LC,n/a,GI,2,6,,no
Perciformes,Gobiidae,Microgobius meeki,n/a,"N, B",BP,3.5,LC,n/a,GI,2,1,,no
Perciformes,Gobiidae,Pomatoschistus minutus,Sand goby,"N, B",BP,3.2,NE,N,GI, ,200,15,7.50
Perciformes,Gobiidae,Synechogobius ommaturus,Asian freshwater goby,"N, B",BP,3.5,NE,N,GI,3,18,18,100.00
Perciformes,Haemulidae,Anisotremus surinamensis,Black margate,"N, D",BP,3.6,DD,Y,GI,2,1,,no
Perciformes,Haemulidae,,,,,,,,GI,2,1,0,0.00
Perciformes,Haemulidae,Anisotremus virginicus,Porkfish,"N, D",BP,3.6,LC,Y,GI,2,1,0,0.00
Perciformes,Haemulidae,Conodon nobilis,Barred grunt,"N, D",BP,3.6,LC,Y,GI,2,8,0,0.00
Perciformes,Haemulidae,Genyatremus luteus,Torroto grunt,"N, D",O,3.5,NE,Y,GI,2,8,0,0.00
Perciformes,Haemulidae,Haemulon plunierii,White grunt,"N, D",BP,3.8,LC,Y,GI,2,13,0,0.00
Perciformes,Haemulidae,Haemulon steindachneri,Chere-chere grunt,"N, D",BP,3.7,LC,Y,GI,2,5,0,0.00
Perciformes,Haemulidae,Orthopristis chrysoptera,"Grunt, pigfish","N, D",BP,3.4,LC,Y,G ,2,157,42,26.75
Perciformes,Haemulidae,Orthopristis ruber,Corocoro grunt,"N, D",BP,3.6,LC,Y,GI,2,2,0,0.00
Perciformes,Haemulidae,Plectorhinchus gaterinus,Blackspotted subberlip,"N, B",BP,4,NE,Y,GI,3,6,2,33.33
Perciformes,Haemulidae,Pomadasys corvinaeformis,Roughneck grunt,"N, D",BP,3.6,LC,Y,GI,2,4,,no
Perciformes,Haemulidae,Pomadasys incisus,Bastard grunt,"N, D",BP,3.8,LC,Y,GI,3,29,16,55.17
Perciformes,Istiophoridae,Istiompax indica,Black marlin,"O, P",PP,4.5,DD,Y,n/a,1,1,,yes
Perciformes,Kuhliidae,Kuhlia sandvicensis,Hawaiian flagtail,n/a,n/a,3.8,NE,Y,GI,1,15,3,20.00
Perciformes,Kyphosidae,Girella laevifrons,n/a,"N, P",G,2.6,NE,N,GI,3,16,16,100.00
Perciformes,Kyphosidae,Girella tricuspidata,Parore,"N, BP",G,2.1,NE,y,GI,3,20,14,70.00
Perciformes,Kyphosidae,Graus nigra,n/a,"N, D",BP,3.4,NE,Y,GI,3,8,8,100.00
Perciformes,Kyphosidae,Kyphosus pacificus,Pacific drummer,n/a,n/a,,NE,Y,GI,1,15,0,0.00
Perciformes,Kyphosidae,Kyphosus sandwicensis,Pacific chub,"N, D",G,,NE,Y,GI,3,39,20,51.28
Perciformes,Kyphosidae,Kyphosus sydneyanus,Silver drummer,"N, B",G,2,NE,Y,GI,1,10,0,0.00
Perciformes,Labridae,Coris aygula,Clown coris,"N, D",BP,3.7,LC,Y,GI,1,1,0,0.00
Perciformes,Labridae,Notolabrus tetricus,Blue-throated wrasse,"N, D",BP,3.6,LC,Y,"G, GI",2,7,0,0.00
Perciformes,Labridae,Oxycheilinus unifasciatus,Ringtail maori wrasse,"N, BP",BP,4.1,LC,Y,GI,1,1,0,0.00
Perciformes,Labridae,Thalassoma purpureum,Surge wrasse,"N, D",BP,3.8,LC,Y,GI,1,2,1,50.00
Perciformes,Labridae,Thalassoma rueppellii,Klunzinger's wrasse,"N, D",BP,3.5,LC,Y,GI,3,12,1,8.33
Perciformes,Labridae,Thalassoma trilobatum,Christmas wrasse,"N, D",BP,3.8,LC,Y,GI,1,4,1,25.00
Perciformes,Labridae,Tautogolabrus adspersus,Cunner,"N, B",BP,3.7,LC,Y,n/a,,6,,yes
Perciformes,Labrisomidae,Auchenionchus microcirrhis,n/a,"N, D",BP,3.7,LC,N,GI,3,16,16,100.00
Perciformes,Lateolabracidae,Lateolabrax japonicus,Japanese seabass,"N, BP",P,3.4,NE,Y,GI,3,18,18,100.00
Perciformes,Latidae,Lates calcarifer,Barramundi,"N, D",BP,3.8,NE,Y,GI,3,2,2,100.00
Perciformes,Leiognathidae,Photopectoralis bindus,Orangefin ponyfish,"N, D",O,2.9,NE,y,GI,3,18,18,100.00
Perciformes,Lethrinidae,Gnathodentex aurolineatus,Striped large-eye bream,"N, D",BP,3.7,NE,Y,GI,3,29,2,6.90
Perciformes,Lethrinidae,Gymnocranius grandoculis,Blue-lined large-eye bream,"N, D",BP,3.8,LC,N,GI ,3,10,2,20.00
Perciformes,Lethrinidae,Lethrinus amboinensis,Ambon emperor,"N, D",BP,4,NE,Y,GI,3,26,6,23.08
Perciformes,Lethrinidae,Lethrinus microdon,Smalltooth emperor,"N, D",BP,3.8,LC,Y,GI,3,10,2,20.00
Perciformes,Lethrinidae,Lethrinus obsoletus,Orange-striped emperor,"N, D",BP,3.9,NE,Y,GI,3,30,4,13.33
Perciformes,Lutjanidae,Lipocheilus carnolabrum,Tang's snapper,"N, D",BP,3.9,LC,Y,GI,3,7,2,28.57
Perciformes,Lutjanidae,Lutjanus alexandrei,n/a,"N, D",BP,3.8,NE,n/a,GI,2,1,,no
Perciformes,Lutjanidae,Lutjanus analis,Mutton snapper,"N, D",BP,3.9,NT,Y,GI,2,3,1,33.33
Perciformes,Lutjanidae,,,,,,,,G ,2,2,0,0.00
Perciformes,Lutjanidae,Lutjanus campechanus,Northern red snapper,"N, BP",BP,3.9,VU,Y,GI,2,2,,yes
Perciformes,Lutjanidae,Lutjanus gibbus,Humpback red snapper,"N, BP",BP,4.1,LC,Y,GI,3,29,6,20.69
Perciformes,Lutjanidae,,,,,,,,GI,3,5,0,0.00
Perciformes,Lutjanidae,,,,,,,,GI,1,1,0,0.00
Perciformes,Lutjanidae,Lutjanus griseus,Grey snapper,"N, BP",BP,4.2,LC,Y,GI,2,5,,yes
Perciformes,Lutjanidae,Lutjanus jocu,Dog snapper,"N, D",BP,4.4,NE,Y,G ,2,5,0,0.00
Perciformes,Lutjanidae,,,,,,,,GI,2,4,,no
Perciformes,Lutjanidae,Lutjanus kasmira,Bluestripe snapper,"N, D",BP,3.9,LC,Y,GI ,3,12,2,16.67
Perciformes,Lutjanidae,Lutjanus synagris,Lane snapper,"N, D",BP,3.8,NT,Y,GI,2,2,1,50.00
Perciformes,Lutjanidae,,,,,,,,GI,2,2,,no
Perciformes,Lutjanidae,Pristipomoides multidens,Gold banded jobfish,"N, D",BP,3.8,LC,Y,GI,3,10,2,20.00
Perciformes,Lutjanidae,Pristipomoides typus,Sharptooth jobfish,"N, D",BP,4.2,LC,N,GI,3,5,0,0.00
Perciformes,Malacanthidae,Branchiostegus japonicus,Horsehead tilefish,"N, D",P,3.4,LC,Y,GI,3,18,18,100.00
Perciformes,Moronidae,Dicentrarchus labrax,European seabass,"N, D",BP,3.5,LC,Y,GI,3,40,9,22.50
Perciformes,Moronidae,Morone americana  ,White perch,"N, D",BP,3.1,LC,Y,n/a,,12,4,33.33
Perciformes,Moronidae,Morone saxatilis,Striped bass,"N, D",BP,4.7??,LC,Y,GI,3,7,2,28.57
Perciformes,Moronidae,,,,,,,,n/a,1,1094,1,0.09
Perciformes,Mullidae,Mulloidichthys flavolineatus,Yellowstripe goatfish,"N, B",BP,3.8,LC,Y,GI,1,2,0,0.00
Perciformes,Mullidae,Mullus barbatus,Red mullet,"N, D",BP,3.1,NE,Y,GI,3,11,7,63.64
Perciformes,Mullidae,,,,,,,,G,3,128,24,18.75
Perciformes,Mullidae,,,,,,,,GI,3,207,136,65.70
Perciformes,Mullidae,,,,,,,,GI,3,12,11,91.67
Perciformes,Mullidae,,,,,,,,GI ,2,148,11,7.43
Perciformes,Mullidae,,,,,,,,GI,3,25,8,32.00
Perciformes,Mullidae,,,,,,,,GI,3,25,8,32.00
Perciformes,Mullidae,Mullus surmuletus,Surmullet,"N, B",BP,3.5,NE,Y,G,2,4,4,100.00
Perciformes,Mullidae,,,,,,,,GI,3,51,33,64.71
Perciformes,Mullidae,,,,,,,,G,2,417,114,27.34
Perciformes,Mullidae,,,,,,,,GI ,2,8,0,0.00
Perciformes,Mullidae,,,,,,,,GI,3,30,21,70.00
Perciformes,Mullidae,,,,,,,,G,1,1298,0,0.00
Perciformes,Mullidae,Upeneus moluccensis,Goldband goatfish,"N, D",BP,3.6,NE,Y,GI,3,18,8,44.44
Perciformes,Mullidae,Upeneus pori,Por's goatfish,"N, D",BP,3.5,NE,Y,GI,3,78,32,41.03
Perciformes,Nemipteridae,Nemipterus randalli,Randall's theadfin bream,"N, D",BP,3.7,NE,Y,GI,3,135,74,54.81
Perciformes,Nemipteridae,Parascolopsis eriomma,Rosy dwarf mon. bream ,"N, D",BP,3.5,NE,Y,GI ,3,5,3,60.00
Perciformes,Nototheniidae,Dissostichus mawsoni,Antarctic tootfish,"O, P",BP,3.9,NE,Y,"G, GI",2,10,1,10.00
Perciformes,Odacidae,Haletta semifasciata,Blue weed whiting,"N, D",BP,3.2,LC,Y,"G, GI",2,2,0,0.00
Perciformes,Polynemidae,Polydactylus oligodon,Littlescale threadfin,"N, B",BP,3.7,LC,Y,GI,2,1,1,100.00
Perciformes,Polynemidae,Polydactylus virginicus,Barbu,"N, D",BP,3.7,LC,Y,GI,2,14,,no
Perciformes,Polynemidae,,,,,,,,GI,2,13,0,0.00
Perciformes,Polyprionidae,Polyprion americanus,Wreckfish,"N, D",BP,4.1,DD,Y,GI,2,14,0,0.00
Perciformes,Polyprionidae,,,,,,,,G,2,1,0,0.00
Perciformes,Pomacanthidae,Pygoplites diacanthus,Regal angelfish,"N, B",G,2.7,LC,N,GI,3,5,0,0.00
Perciformes,Pomacentridae,Abudefduf sexfasciatus,Scissortail sergeant,"N, BP",O,2.7,NE,N,GI,3,5,1,20.00
Perciformes,Pomacentridae,Abudefduf sordidus,Blackspot sergeant,"N, D",O,2.9,NE,Y,GI,1,1,0,0.00
Perciformes,Pomacentridae,Dascyllus trimaculatus,Threespot dascyllus,"N, BP",O,2.8,NE,N,GI ,3,2,0,0.00
Perciformes,Pomatomidae,Pomatomus saltatrix,Bluefish,"N-O, P",PP,4.5,VU,Y,GI,2,2,0,0.00
Perciformes,Priacanthidae,Heteropriacanthus cruentatus,Glasseye,"N, D",BP,3.6,LC,Y,GI,3,10,3,30.00
Perciformes,Priacanthidae,Priacanthus arenatus,Atlantic bigeye,"N, D",BP,4,LC,Y,G,2,122,60,49.18
Perciformes,Rachycentridae,Rachycentron canadum,Cobia,"N-O, BP",PP,4,LC,Y,GI,2,1,0,0.00
Perciformes,Scaridae,Chlorurus sordidus,Daisy parrotfish,"N, B",G,2.6,LC,Y,GI,1,4,1,25.00
Perciformes,Scaridae,Nicholsina usta,Emerald parrotfish,"N, D",G,2,LC,Y,GI,2,2,,no
Perciformes,Scaridae,Scarus niger,Dusky parrotfish,"N, D",G,2,LC,Y,GI,3,30,7,23.33
Perciformes,Scaridae,Scarus oviceps,Dark capped parrotfish,"N, D",G,2,LC,Y,GI,3,45,5,11.11
Perciformes,Scaridae,Scarus psittacus,Common parrotfish,"N, D",G,2,LC,Y,GI,3,30,5,16.67
Perciformes,Sciaenidae,Argyrosomus regius,Meagre,"N, BP",PP,4.3,NE,Y,G,2,5,3,60.00
Perciformes,Sciaenidae,,,,,,,,GI,3,51,38,74.51
Perciformes,Sciaenidae,Bairdiella ronchus,Ground croaker,"N, D",BP,3.5,LC,Y,GI,2,4,0,0.00
Perciformes,Sciaenidae,Collichthys lucidus,n/a,"N, D",BP,3.5,NE,Y,GI,3,18,18,100.00
Perciformes,Sciaenidae,Ctenosciaena gracilicirrhus,Barbel drum,"N, D",BP,3.9,LC,Y,GI,2,11,0,0.00
Perciformes,Sciaenidae,Cynoscion acoupa,Acoupa weakfish,"N, B",BP,4.1,LC,Y,G,2,530,340,64.15
Perciformes,Sciaenidae,,,,,,,,GI,2,552,282,51.09
Perciformes,Sciaenidae,Cynoscion arenarius,"Sand trout, s. weakfish","N, D",BP,4.2,LC,Y,G ,2,139,60,43.17
Perciformes,Sciaenidae,Cynoscion jamaicensis,Jamaica weakfish,"N, D",BP,3.8,LC,Y,GI,2,3,0,0.00
Perciformes,Sciaenidae,Cynoscion leiarchus,Cynoscion weakfish,"N, D",BP,3.1,LC,Y,GI,2,2,1,50.00
Perciformes,Sciaenidae,,,,,,,,GI,2,9,,no
Perciformes,Sciaenidae,Cynoscion microlepidotus,Smallscale weakfish,"N, D",BP,4,LC,Y,GI,2,16,3,18.75
Perciformes,Sciaenidae,Cynoscion nebulosus,Spotted weakfish,"N, D",BP,4,LC,Y,GI,2,20,,yes
Perciformes,Sciaenidae,Cynoscion virescens,Green weakfish,"N, D",BP,4,LC,Y,GI,2,7,1,14.29
Perciformes,Sciaenidae,Larimichthys crocea,Large yellow croaker,"N, BP",BP,3.7,NE,Y,GI,3,18,18,100.00
Perciformes,Sciaenidae,Macrodon ancylodon,King weakfish,"N, D",BP,3.9,LC,Y,GI,2,13,1,7.69
Perciformes,Sciaenidae,Menticirrhus americanus,Southern kingcroaker,"N, D",BP,3.5,LC,Y,G ,2,150,53,35.33
Perciformes,Sciaenidae,,,,,,,,GI,2,1,0,0.00
Perciformes,Sciaenidae,,,,,,,,GI,2,1,,no
Perciformes,Sciaenidae,Micropogonias furnieri,Whitemouth croaker,"N, D",BP,3.1,LC,Y,GI,2,1,,no
Perciformes,Sciaenidae,,,,,,,,GI,2,6,0,0.00
Perciformes,Sciaenidae,Micropogonias undulatus,Atlantic croaker,"N, D",BP,4,LC,Y,G ,2,383,173,45.17
Perciformes,Sciaenidae,,,,,,,,GI,2,1,0,0.00
Perciformes,Sciaenidae,,,,,,,,n/a, ,n/a,,yes
Perciformes,Sciaenidae,Paralonchurus brasiliensis,Banded croaker,"N, D",BP,3.4,LC,Y,GI,2,6,0,0.00
Perciformes,Sciaenidae,Pogonias cromis,Black drum,"N, D",BP,3.9,LC,Y,GI,2,1,0,0.00
Perciformes,Sciaenidae,Sciaena umbra,Brown meagre,"N, D",BP,3.8,NT,Y,GI,3,1,1,100.00
Perciformes,Sciaenidae,Sciaenops ocellatus,Red drum,"N, D",BP,3.7,LC,Y,GI,2,28,,yes
Perciformes,Sciaenidae,Stellifer brasiliensis,n/a,"N, D",BP,3.4,NE,N,G,2,330,23,6.97
Perciformes,Sciaenidae,,,,,,,,GI,2,1,,no
Perciformes,Sciaenidae,Stellifer stellifer,Little croaker,"N, D",BP,3.4,NE,Y,G,2,239,22,9.21
Perciformes,Sciaenidae,Umbrina cirrosa,Shi drum,"N, D",BP,3.4,NE,Y,GI,3,1,0,0.00
Perciformes,Scombridae,Acanthocybium solandri,Wahoo,"O, P",PP,4.3,LC,Y,n/a,1,885,1,0.11
Perciformes,Scombridae,Euthynnus alletteratus,Little tunny,"N, BP",PP,4.5,LC,Y,n/a,,n/a,,yes
Perciformes,Scombridae,Gymnosarda unicolor,Dogtooth tuna,"O, P",PP,4.5,LC,Y,GI,1,2,0,0.00
Perciformes,Scombridae,Katsuwonus pelamis,Skipjack tuna,"O, P",PP,4.4,LC,Y,GI,3,26,6,23.08
Perciformes,Scombridae,,,,,,,,G,1,29,0,0.00
Perciformes,Scombridae,,,,,,,,GI,3,9,0,0.00
Perciformes,Scombridae,,,,,,,,"G, GI",2,1,0,0.00
Perciformes,Scombridae,Rastrelliger kanagurta,Indian mackerel,"N, P",P,3.2,DD,Y,GI,3,9,5,55.56
Perciformes,Scombridae,,,,,,,,GI,3,20,,yes
Perciformes,Scombridae,Scomber australasicus,Blue mackerel,"N, P",P,4.2,LC,Y,"G, GI",2,4,0,0.00
Perciformes,Scombridae,Scomber japonicus,Chub mackerel,"N, P",P,3.4,LC,Y,G,2,35,11,31.43
Perciformes,Scombridae,,,,,,,,GI,3,7,5,71.43
Perciformes,Scombridae,,,,,,,,GI,2,30,1,3.33
Perciformes,Scombridae,,,,,,,,GI,3,1,0,0.00
Perciformes,Scombridae,,,,,,,,GI ,2,37,16,43.24
Perciformes,Scombridae,Scomber scombrus,Atlantic mackerel,"N-O, P",P,3.6,LC ,Y,G,2,13,4,30.77
Perciformes,Scombridae,,,,,,,,GI,2,51,9,17.65
Perciformes,Scombridae,,,,,,,,GI,2,31,10,32.26
Perciformes,Scombridae,,,,,,,,GI,3,84,0,0.00
Perciformes,Scombridae,Scomberomorus brasiliensis,Serra Spanish mackerel,"N-O, P",PP,3.3,LC,Y,GI,2,1,0,0.00
Perciformes,Scombridae,Scomberomorus cavalla,King mackerel,"N, P",PP,4.4,LC,Y,G ,2,8,5,62.50
Perciformes,Scombridae,,,,,,,,GI,2,1,0,0.00
Perciformes,Scombridae,Thunnus albacares,Yellowfin tuna,"O, P",PP,4.4,NT,Y,GI,3,68,18,26.47
Perciformes,Scombridae,,,,,,,,"G, GI",2,50,1,2.00
Perciformes,Scombridae,,,,,,,,n/a,,n/a,,yes
Perciformes,Scombridae,,,,,,,,G,1,26,0,0.00
Perciformes,Scombridae,Thunnus alalunga,Albacore,"O, P",PP,4.3,NT,Y,G,?,31,4,12.90
Perciformes,Scombridae,,,,,,,,GI,3,2,0,0.00
Perciformes,Scombridae,Thunnus atlanticus,Blackfin tuna,"O, P",PP,4.4,LC,Y,n/a,,n/a,,yes
Perciformes,Scombridae,Thunnus maccoyi,Southern bluefin tuna,"O, P",PP,3.9,CR,Y,n/a,1,1219,12,0.98
Perciformes,Scombridae,Thunnus obesus,Bigeye tuna,"O, P",PP,4.5,VU,Y,G,1,35,3,8.57
Perciformes,Scombridae,Thunnus thynnus,Atlantic bluefin tuna,"O, P",PP,4.5,EN,Y,G,?,34,11,32.35
Perciformes,Serranidae,Cephalopholis argus,Peacock hind,"N, BP",BP,4.5,LC,Y,GI,3,4,0,0.00
Perciformes,Serranidae,Epinephelus areolatus,Areolate grouper,"N, D",BP,3.7,LC,Y,GI,3,5,1,20.00
Perciformes,Serranidae,Epinephelus chlorostigma,Brownspotted grouper,"N, D",BP,4,LC,Y,GI ,3,3,1,33.33
Perciformes,Serranidae,Epinephelus epistictus,Dotted grouper,"N, D",BP,4,DD,N,GI,3,5,1,20.00
Perciformes,Serranidae,Epinephelus fasciatus,Blacktip grouper,"N, D",BP,3.7,LC,Y,GI,1,17,0,0.00
Perciformes,Serranidae,Epinephelus itajara,Atlantic goliath grouper,"N, D",BP,4.1,CR,Y,GI,2,2,0,0.00
Perciformes,Serranidae,Epinephelus merra,Honeycomb grouper,"N, D",BP,3.8,LC,Y,GI,3,20,,yes
Perciformes,Serranidae,Epinephelus radiatus,Oblique-banded grouper,"N, D",BP,4,LC,N,GI,3,7,1,14.29
Perciformes,Serranidae,Mycteroperca sp.,Grouper ?,"N, D",,,,n/a,G ,2,1,0,0.00
Perciformes,Serranidae,Rypticus randalli,n/a,"N, D",BP,3.8,LC,n/a,GI,2,1,,no
Perciformes,Serranidae,Serranus cabrilla,Comber,"N-O, D",BP,3.4,LC,Y,GI,3,6,4,66.67
Perciformes,Serranidae,Variola louti,Yellow-edged lyretail,"N, BP",BP,4.3,NE,Y,GI,1,15,3,20.00
Perciformes,Siganidae,Siganus argenteus,Streamlined spinefoot,"N, P",G,2,NE,Y,GI,3,2,1,50.00
Perciformes,Siganidae,Siganus canaliculatus,White-spotted spinefoot,"N, P",G,2.8,NE,Y,GI,3,3,1,33.33
Perciformes,Siganidae,Siganus fuscescens,Mottled spinefoot,"N, P",G,2.3,NE,Y,GI,3,2,0,0.00
