order,family,species,common_name,habitat,feeding_strategy,trophic_level,IUCN,fisheries_interest,G/GI,method,N,n_fish_ingested,FO
Perciformes,Siganidae,Siganus luridus,Dusky spinefoot,"N, D",G,2,NE,Y,GI,3,15,13,86.67
Perciformes,Siganidae,,,,,,,,GI,3,n/a,,yes
Perciformes,Siganidae,Siganus punctatus,Goldspotted spinefoot,"N, D",G,2,NE,Y,GI,3,29,4,13.79
Perciformes,Siganidae,Siganus rivulatus,Marbled spinefoot,"N, D",G,2,LC,Y,GI,3,n/a,,yes
Perciformes,Sillaginidae,Sillaginodes punctatus,Spotted sillago,"N, D",BP,3.3,NE,Y,"G, GI",2,8,0,0.00
Perciformes,Sillaginidae,Sillago flindersi,Flinder's sillago,"N, D",BP,3.3,NE,Y,"G, GI",2,10,0,0.00
Perciformes,Sillaginidae,Sillago sihama,Silver silago,"N, D",BP,3.3,NE,Y,GI,3,18,18,100.00
Perciformes,Sillaginidae,,,,,,,,GI,3,17,,yes
Perciformes,Sparidae,Acanthopagrus australis,Yellowfin bream,"N, D",BP,3.1,LC,Y,GI,2,24,6,25.00
Perciformes,Sparidae,Boops boops,Bogue,"N, B",O,2.8,NE,Y,G,2,32,3,9.38
Perciformes,Sparidae,,,,,,,,GI,2,337,195,57.86
Perciformes,Sparidae,Dentex dentex,Common dentex,"N, BP",BP,4.5,VU,Y,GI,3,1,0,0.00
Perciformes,Sparidae,Dentex gibbosus,Pink dentex,"N, BP",BP,4.1,LC,Y,GI,3,14,4,28.57
Perciformes,Sparidae,Dentex macrophthalmus,Large-eye dentex,"N-O, BP",BP,3.5,NE,Y,G,2,1,1,100.00
Perciformes,Sparidae,Diplodus annularis,Pink dentex,"N, BP",BP,3.6,LC,Y,GI,3,48,33,68.75
Perciformes,Sparidae,Diplodus vulgaris,2-banded seabream,"N, BP",BP,3.5,LC,Y,GI,3,40,29,72.50
Perciformes,Sparidae,Lagodon rhomboides,Pinfish,"N, D",BP,4.4,LC,Y,G ,2,449,209,46.55
Perciformes,Sparidae,,,,,,,,GI,2,48,,yes
Perciformes,Sparidae,Lithognathus mormyrus,Sand steenbras,"N, D",BP,3.4,LC,Y,GI,3,46,16,34.78
Perciformes,Sparidae,,,,,,,,G,1,63,0,0.00
Perciformes,Sparidae,Pagellus acarne,Axillary seabream,"N-O, B",BP,3.8,NE,Y,G,2,1,1,100.00
Perciformes,Sparidae,,,,,,,,GI,3,52,35,67.31
Perciformes,Sparidae,,,,,,,,G,1,1917,0,0.00
Perciformes,Sparidae,Pagellus bogaraveo,Blackspot seabream,"N-O, D",BP,4.2,NE,Y,GI ,2,60,1,1.67
Perciformes,Sparidae,,,,,,,,G,1,174,0,0.00
Perciformes,Sparidae,Pagellus erythrinus,Common pandora,"N, BP",BP,3.5,LC,Y,GI,3,54,28,51.85
Perciformes,Sparidae,,,,,,,,GI,2,80,2,2.50
Perciformes,Sparidae,,,,,,,,GI ,3,49,23,46.94
Perciformes,Sparidae,,,,,,,,GI,3,19,8,42.11
Perciformes,Sparidae,,,,,,,,G,1,370,0,0.00
Perciformes,Sparidae,Pagrus auratus,Silver seabream,"N, BP",BP,3.6,LC,Y,GI,3,22,1,4.55
Perciformes,Sparidae,Pagrus pagrus,Red porgy,"N, BP",BP,3.9,LC,Y,GI,3,9,7,77.78
Perciformes,Sparidae,Sparus aurata,Gilthead seabream,"N, D",BP,3.7,LC,Y,GI,3,110,48,43.64
Perciformes,Sparidae,,,,,,,,GI,3,20,20,100.00
Perciformes,Sparidae,Spondyliosoma cantharus,Black seabream,"N, BP",O,3.3,LC,Y,GI ,3,5,5,100.00
Perciformes,Sparidae,,,,,,,,G,1,284,0,0.00
Perciformes,Sphyraenidae,Sphyraena forsteri,Bigeye barracuda,"N-O, P",PP,4.4,NE,Y,GI,3,12,2,16.67
Perciformes,Sphyraenidae,Sphyraena genie,Blackfin barracuda,"N-O, P",PP,4.5,NE,Y,GI,1,7,1,14.29
Perciformes,Sphyraenidae,Sphyraena guachancho,Guachanche barracuda,"N, P",PP,4.4,NE,Y,G ,2,1,0,0.00
Perciformes,Stromateidae,Pampus argenteus,Silver pomfret,"N, BP",P,3.3,NE,Y,GI,3,18,18,100.00
Perciformes,Stromateidae,Peprilus paru,American harvestfish,"N, BP",??,4.5??,LC,Y,GI,2,2,0,0.00
Perciformes,Teraponidae,Pelates quadrilineatus,Fourlined terapon,"N, D",BP,3.6,NE,Y,GI,3,135,88,65.19
Perciformes,Teraponidae,Terapon jarbua,Jarbua terapon,"N, D",O,3.9,LC,Y,GI,3,18,18,100.00
Perciformes,Trichiuridae,Aphanopus carbo,Black scabbardfish,"O, P",PP,4.5,NE,Y,GI,2,5,0,0.00
Perciformes,Trichiuridae,,,,,,,,G,1,11,0,0.00
Perciformes,Trichiuridae,Lepidopus caudatus,Silver Scabbardfish,"N-O, BP",PP,3.8,NE,Y,GI,2,1,0,0.00
Perciformes,Trichiuridae,Trichiurus lepturus,Largehead hairtail,"N, BP",PP,4.4,NE,Y,G,1,149,1,0.67
Perciformes,Trichiuridae,,,,,,,,G,2,1,0,0.00
Perciformes,Trichiuridae,,,,,,,,GI,2,5,1,20.00
Perciformes,Tripterygiidae,Helcogrammoides chilensis,n/a,"N, D",BP,3.3,LC,N,GI,3,3,3,100.00
Perciformes,Uranoscopidae,Uranoscopus scaber,Stargazer,"N-O, D",BP,4.4,LC,Y,GI,3,9,7,77.78
Perciformes,Xiphiidae,Xiphias gladius,Swordfish,"O, P",PP,4.5,LC,Y,G,?,56,7,12.50
Perciformes,Xiphiidae,,,,,,,,G,1,31,1,3.23
Perciformes,Xiphiidae,,,,,,,,GI ,2,1,0,0.00
Perciformes,Zoarcidae,Zoarces viviparus,Eelpout,"N, D",BP,3.5,NE,Y,GI,3,150,0,0.00
Pleuronectiformes ,Achiridae,Achirus achirus,Drab sole,"N, B",BP,4,LC,N,GI,2,3,,no
Pleuronectiformes ,Achiridae,Achirus declivis,Plainfin sole,"N, B",BP,3.3,LC,n/a,GI,2,7,,yes
Pleuronectiformes ,Achiridae,Achirus lineatus,Lined sole,"N, B",BP,3.5,LC,N,GI,2,10,,yes
Pleuronectiformes ,Achiridae,Trinectes paulistanus,Slipper sole,"N, B",BP,3.3,LC,n/a,GI,2,3,,no
Pleuronectiformes ,Citharidae,Citharus linguatula,Spotted flounder,"N, B",BP,4,LC,Y,GI ,2,52,1,1.92
Pleuronectiformes ,Cynoglossidae,Cynoglossus abbreviatus,3-lined tongue sole,"N, D",BP,3.5,NE,Y,GI,3,18,18,100.00
Pleuronectiformes ,Cynoglossidae,,,,,,,,GI,3,11,,yes
Pleuronectiformes ,Cynoglossidae,Symphurus tessellatus,n/a,"N, B",BP,3.6,LC,n/a,GI,2,26,,yes
Pleuronectiformes ,Paralichthyidae,Citharichthys macrops,Spotted whiff,"N, B",BP,3.5,LC,n/a,GI,2,7,,no
Pleuronectiformes ,Paralichthyidae,Citharichthys sordidus,Pacific sanddab,"N-O, B",BP,3.5,NE,y,GI,3,5,3,60.00
Pleuronectiformes ,Paralichthyidae,Citharichthys spilopterus,Bay whiff,"N, B",BP,3.6,LC,Y,GI,2,12,,no
Pleuronectiformes ,Paralichthyidae,Etropus crossotus,Fringed flounder,"N, B",BP,3.5,LC,Y,GI,2,1,,no
Pleuronectiformes ,Paralichthyidae,Paralichthys brasiliensis,Brazilian flounder,"N, B",BP,4.2,NE,y,G ,2,1,0,0.00
Pleuronectiformes ,Paralichthyidae,Paralichthys lethostigma,Southern flounder,"N, B",BP,3.5,NT,Y,GI,2,8,,yes
Pleuronectiformes ,Pleuronectidae,Hippoglossus hippoglossus,Atlantic halibut,"O, B",BP,4,EN,Y,GI,2,14,0,0.00
Pleuronectiformes ,Pleuronectidae,Limanda limanda,Common dab,"N, B",BP,3.4,LC,Y,GI ,2,89,4,4.49
Pleuronectiformes ,Pleuronectidae,,,,,,,,GI,3,100,0,0.00
Pleuronectiformes ,Pleuronectidae,,,,,,,,GI,2,19,9,47.37
Pleuronectiformes ,Pleuronectidae,Pleuronectes platessa,European plaice,"N, B",BP,3.2,LC,Y,GI,2,62,28,45.16
Pleuronectiformes ,Pleuronectidae,Pseudopleuronectes americanus  ,Winter flounder,"N, B",BP,3.6,NE,Y,n/a,,95,2,2.11
Pleuronectiformes ,Pleuronectidae,Platichthys flesus,European flounder,"N, B",BP,3.3,LC,Y,GI,2,66,56,84.85
Pleuronectiformes ,Pleuronectidae,,,,,,,,GI,2,36,2,5.56
Pleuronectiformes ,Pleuronectidae,,,,,,,,GI, ,1090,133,12.20
Pleuronectiformes ,Pleuronectidae,,,,,,,,GI,3,40,5,12.50
Pleuronectiformes ,Pleuronectidae,,,,,,,,GI,2,47,24,51.06
Pleuronectiformes ,Scophthalmidae,Lepidorhombus boscii,Four-spot megrim,"N-O, B",BP,3.7,NE,Y,G,2,2,1,50.00
Pleuronectiformes ,Scophthalmidae,,,,,,,,G,1,25914,0,0.00
Pleuronectiformes ,Scophthalmidae,Lepidorhombus whiffiagonis,Megrim,"N-O, B",BP,4.3,NE,Y,GI,2,10,1,10.00
Pleuronectiformes ,Scophthalmidae,,,,,,,,G,2,2,0,0.00
Pleuronectiformes ,Scophthalmidae,,,,,,,,G,1,6753,0,0.00
Pleuronectiformes ,Soleidae,Buglossidium luteum,Solenette,"N-O, B",BP,3.3,LC,Y,GI,2,50,13,26.00
Pleuronectiformes ,Soleidae,Microchirus variegatus,Thickback sole,"N-O, B",BP,3.3,NE ,Y,GI,2,51,12,23.53
Pleuronectiformes ,Soleidae,,,,,,,,GI,2,n/a,,yes
Pleuronectiformes ,Soleidae,Solea solea,Common sole,"N, B",BP,3.2,NE ,Y,GI,3,533,506,94.93
Pleuronectiformes ,Soleidae,,,,,,,,G,2,1,0,0.00
Pleuronectiformes ,Soleidae,,,,,,,,GI,2,88,2,2.27
Pleuronectiformes ,Soleidae,,,,,,,,GI ,3,20,13,65.00
Salmoniformes,Salmonidae,Oncorhynchus tshawytscha,Chinook salmon,"N, BP",PP,4.4,NE,Y,GI,3,4,1,25.00
Salmoniformes,Salmonidae,Salmo trutta,Sea trout,"N, P",BP,3.4,LC,Y,GI,3,62,42,67.74
Scorpaeniformes ,Cottidae,Myoxocephalus aenaeus  ,Grubby,"N-O, B",BP,3.7,NE ,N,n/a,,47,2,4.26
Scorpaeniformes ,Cottidae,Triglops nybelini,Bigeye sculpin,"N-O, B",BP,3.3,NE,N,GI,3,71,24,33.80
Scorpaeniformes ,Hexagrammidae,Ophiodon elongatus,Lingcod,"N-O, D",BP,4.3,NE,Y,GI,3,11,1,9.09
Scorpaeniformes ,Liparidae,Liparis liparis,Striped seasnail,"N, B",BP,3.6,LC,Y,GI, ,220,16,7.27
Scorpaeniformes ,Platycephalidae,Platycephalus bassensis,Sand flathead,"N, B",BP,4.3,NE,Y,"G, GI",2,10,0,0.00
Scorpaeniformes ,Platycephalidae,Platicephalus indicus,Bartail flathead,"N, D",BP,3.6,DD,Y,GI,3,12,,yes
Scorpaeniformes ,Platycephalidae,Platycephalus laevigatus,Black flathead,"N, D",BP,3.8,NE,N,"G, GI",2,7,0,0.00
Scorpaeniformes ,Scorpaenidae,Scorpaena elongata,Slender rockfish,"N-O, D",BP,3.9,NE,Y,GI,2,1,0,0.00
Scorpaeniformes ,Scorpaenidae,Scorpaena jacksoniensis,n/a,"N, D",BP,3.9,NE,N,"G, GI",2,19,0,0.00
Scorpaeniformes ,Scorpaenidae,Scorpaena loppei,Cadenat's rockfish,"N, D",BP,3.5,LC,N,G,1,104,0,0.00
Scorpaeniformes ,Scorpaenidae,Scorpaena scrofa,Red scorpionfish,"N-O, D",BP,4.3,LC,Y,G,1,51,0,0.00
Scorpaeniformes ,Scorpaenidae,Scorpaena sp.,n/a,,BP,,,n/a,GI,3,19,16,84.21
Scorpaeniformes ,Sebastidae,Helicolenus dactylopterus,Blackbelly rosefish,"N-O, D",BP,3.5,NE,Y,GI ,2,380,0,0.00
Scorpaeniformes ,Sebastidae,,,,,,,,G,2,1,0,0.00
Scorpaeniformes ,Sebastidae,,,,,,,,G,1,3618,0,0.00
Scorpaeniformes ,Sebastidae,Sebastes caurinus,Copper rockfish,"N, D",BP,4.1,NE,Y,GI,3,1,0,0.00
Scorpaeniformes ,Sebastidae,Sebastes flavidus,Yellowtail rockfish,"N-O, BP",PP,4.2,NE,Y,GI,3,3,1,33.33
Scorpaeniformes ,Sebastidae,Sebastes miniatus,Vermilion rockfish,"N, D",BP,3.9,NE,Y,GI,3,3,0,0.00
Scorpaeniformes ,Sebastidae,Sebastes mystinus,Blue rockfish,"N-O, BP",P,2.7,NE,Y,GI,3,10,2,20.00
Scorpaeniformes ,Sebastidae,Sebastiscus marmoratus,False kelpfish,"N, B",BP,3.7,NE,Y,GI,3,18,18,100.00
Scorpaeniformes ,Sebastidae,Trachyscorpia cristulata,Atlantic thornyhead,"N-O, D",BP,3.9,LC,Y,G,1,49,0,0.00
Scorpaeniformes ,Triglidae,Chelidonichthys cuculus,Red gurnard,"N, B",BP,3.8,NE,Y,GI,2,66,34,51.52
Scorpaeniformes ,Triglidae,,,,,,,,G,1,3503,1,0.03
Scorpaeniformes ,Triglidae,Chelidonichthys kumu,Bluefin gurnard,"N, B",BP,3.7,LC,Y,GI,3,27,1,3.70
Scorpaeniformes ,Triglidae,Chelidonichthys lucerna,Tub gurnard,"N, B",BP,4,NE,Y,GI ,3,3,2,66.67
Scorpaeniformes ,Triglidae,,,,,,,,GI,3,24,9,37.50
Scorpaeniformes ,Triglidae,,,,,,,,GI,2,1,0,0.00
Scorpaeniformes ,Triglidae,,,,,,,,G,1,1019,0,0.00
Scorpaeniformes ,Triglidae,Chelidonichthys obscurus,Longfin gurnard,"N, B",BP,3.7,LC,Y,G,1,412,0,0.00
Scorpaeniformes ,Triglidae,Eutrigla gurnardus,Grey gurnard,"N, B",BP,3.9,NE,Y,GI,3,171,0,0.00
Scorpaeniformes ,Triglidae,,,,,,,,G,1,2853,0,0.00
Scorpaeniformes ,Triglidae,Prionotus evolans,Striped searobin,"N, B",BP,4.3,LC,Y,n/a,,1,1,100.00
Scorpaeniformes ,Triglidae,Prionotus punctatus,Bluewing searobin,"N, B",BP,3.8,LC,Y,GI,2,1,,no
Scorpaeniformes ,Triglidae,Trigla lyra,Piper,"N, B",BP,3.7,NE,Y,G,2,31,6,19.35
Scorpaeniformes ,Triglidae,,,,,,,,G,1,1488,0,0.00
Siluriformes,Ariidae,Bagre bagre,Coco sea catfish,"N, B",BP,4,LC,Y,GI,2,7,5,71.43
Siluriformes,Ariidae,Bagre marinus,Gafftopsail sea catfish,"N, B",BP,3.5,LC,Y,GI,2,4,4,100.00
Siluriformes,Ariidae,Cathorops agassizii,n/a,"N, B",BP,4.3,NE,N,G,2,60,20,33.33
Siluriformes,Ariidae,,,,,,,,GI,2,1,,no
Siluriformes,Ariidae,Cathorops spixii,Madamango sea catfish,"N, D",BP,3.5,NE,Y,G,2,60,11,18.33
Siluriformes,Ariidae,,,,,,,,GI,2,2,,yes
Siluriformes,Ariidae,Notarius grandicassis,Thomas sea catfish,"N, B",BP,4,LC,Y,GI,2,4,0,0.00
Siluriformes,Ariidae,Sciades herzbergii,Pemecou sea catfish,"N, D",BP,3.3,NE,Y,G,2,62,11,17.74
Siluriformes,Ariidae,,,,,,,,GI,2,57,,yes
Stomiiformes,Gonostomatidae,Cyclothone acclinidens,Benttooth bristlemouth,"O, P",P,3.6,NE,N,G,2,4,0,0.00
Stomiiformes,Gonostomatidae,Cyclothone atraria,Deep-water bristlemouth,"O, P",P,3.1,NE,N,G,2,3,0,0.00
Stomiiformes,Gonostomatidae,Cyclothone pallida,Tan bristlemouth,"O, P",P,3.2,NE,N,G,2,5,0,0.00
Stomiiformes,Gonostomatidae,Cyclothone pseudopallida,Slender bristlemouth,"O, P",P,3.1,NE,N,G,2,4,0,0.00
Stomiiformes,Gonostomatidae,Gonostoma denudatum,n/a,"O, P",P,3.3,LC,N,G ,3,5,5,100.00
Stomiiformes,Phosichthyidae,Vinciguerria mabahiss,n/a,"O, P",P,3.1,NE,N,GI ,3,10,0,0.00
Stomiiformes,Sternoptychidae,Argyropelecus ssp.,n/a,,n/a,,,n/a,GI,3,5,0,0.00
Stomiiformes,Sternoptychidae,Argyropelecus affinis,Pacififc hatchet fish,"O, P",P,3.1,NE,N,G,2,1,0,0.00
Stomiiformes,Sternoptychidae,Argyropelecus hemigymnus,Half-naked hatchet fish,"O, P",P,3.1,LC,N,G,2,3,0,0.00
Stomiiformes,Sternoptychidae,Danaphos oculatus,Bottlelights,"O, P",P,3,NE,Y,G,2,9,0,0.00
Stomiiformes,Sternoptychidae,Maurolicus muelleri,Silvery lightfish,"O, P",P,3,NE,Y,GI,3,282,8,2.84
Stomiiformes,Sternoptychidae,Maurolicus mucronatus,n/a,"O, P",P,3.1,NE,N,GI,3,10,1,10.00
Stomiiformes,Sternoptychidae,Sternoptyx diaphana,Bottlelights,"O, P",P,3.4,NE,N,G,2,4,1,25.00
Stomiiformes,Sternoptychidae,Sternoptyx pseudobscura,Highlight hatchet fish,"O, P",P,3.4,NE,N,G,2,6,1,16.67
Stomiiformes,Stomiidae,Astronesthes indopacificus,Indo-Pacific snaggletooth,"O, P",PP,4,LC,N,G,2,7,,yes
Stomiiformes,Stomiidae,Idiacanthus antrostomus,Pacific blackdragon,"O, P",PP,3.8,NE,N,G,2,4,1,25.00
Stomiiformes,Stomiidae,Stomias boa  ,Boa dragonfish,"O, P",PP,4,NE,N,GI,3,5,2,40.00
Stomiiformes,Stomiidae,,,"O, P",,,,,G ,3,9,6,66.67
Tetraodontiformes,Diodontidae,Chilomycterus spinosus spinosus,n/a,"N, D",n/a,3.6,LC,n/a,GI,2,1,,no
Tetraodontiformes,Monacanthidae,Meuschenia scaber,Velvet leatherjacket,"N, BP",G,3.1,NE,Y,GI,3,19,7,36.84
Tetraodontiformes,Monacanthidae,Thamnaconus septentrionalis,n/a,"N, D",O,3.4,NE,Y,GI,3,18,18,100.00
Tetraodontiformes,Tetraodontidae,Colomesus psittacus,Banded puffer,"N, D",BP,3.6,LC,N,GI,2,5,,no
Tetraodontiformes,Tetraodontidae,,,,,,,,GI,2,2,0,0.00
Tetraodontiformes,Tetraodontidae,Lagocephalus laevigatus,Smooth puffer,"N-O, P",BP,4,NE,Y,G ,2,1,0,0.00
Tetraodontiformes,Tetraodontidae,Lagocephalus spadiceus,Half-smooth gold puffie,"N, D",BP,3.7,LC,N,GI,3,1,0,0.00
Tetraodontiformes,Tetraodontidae,Sphoeroides greeleyi,Green puffer,"N, D",BP,3.5,LC,n/a,GI,2,31,,no
Tetraodontiformes,Tetraodontidae,Sphoeroides testudineus,Checkered puffer,"N, D",BP,3.4,LC,N,GI,2,55,,yes
Zeiformes,Zeidae,Zeus faber,John dory,"N, BP",BP,4.5,NE,Y,GI,2,42,20,47.62
Zeiformes,Zeidae,,,,,,,,G,2,1,1,100.00
Zeiformes,Zeidae,,,,,,,,G,1,1346,0,0.00
Elasmobranchii,Zeidae,,,,,,,,,,,,
Carcharhiniformes,Carcharhinidae,Carcharhinus amboinensis,Pigeye shark,"N, BP",PP,4.3,DD,Y,G,1,222,0,0.00
Carcharhiniformes,Carcharhinidae,Carcharhinus brachyurus,Bronze whaler,"N-O, BP",PP,4.5,NT,Y,G,1,1404,1,0.07
Carcharhiniformes,Carcharhinidae,Carcharhinus brevipinna,Spinner shark,"N-O, P",PP,4.2,NT,Y,G,1,1699,0,0.00
Carcharhiniformes,Carcharhinidae,Carcharhinus leucas,Bull shark,"N, BP",PP,4.3,NT,Y,G,1,661,4,0.61
Carcharhiniformes,Carcharhinidae,Carcharhinus limbatus,Blacktip shark,"N, BP",PP,4.4,NT,Y,G,1,1785,4,0.22
Carcharhiniformes,Carcharhinidae,Carcharhinus obscurus,Dusky shark,"N, BP",PP,4.3,VU,Y,G,1,2741,4,0.15
Carcharhiniformes,Carcharhinidae,Carcharhinus plumbeus,Sandbar shark,"N-O, BP",PP,4.5,VU,Y,G,1,379,0,0.00
Carcharhiniformes,Carcharhinidae,Galeocerdo cuvier,Tiger shark,"N-O, BP",PP,4.5,NT,Y,G,1,505,38,7.52
Carcharhiniformes,Carcharhinidae,Prionace glauca,Blue shark,"O, P",PP,4.4,NT,N,G,2,95,24,25.26
Carcharhiniformes,Carcharhinidae,Rhizoprionodon lalandii,Brazilian sharpnose shark,"N, D",PP,4.3,DD,Y,G ,2,6,2,33.33
Carcharhiniformes,Triakidae,Mustelus canis,Dusky smooth-hound,"N-O, D",BP,3.6,NT,Y,GI,2,2,0,0.00
Carcharhiniformes,Triakidae,Mustelus higmani,Smalleye smooth-hound,"N-O, D",BP,3.6,LC,Y,GI,2,3,0,0.00
Carcharhiniformes,Scyliorhinidae,Galeus melastomus   ,Blackmouth catshark,"N-O, D",BP,4.2,LC,Y,G,2,125,21,16.80
Carcharhiniformes,Scyliorhinidae,,,,,,,,GI,2,741,24,3.24
Carcharhiniformes,Scyliorhinidae,,,,,,,,"G, GI, I",1,220,,yes
Carcharhiniformes,Scyliorhinidae,Galeus spp. ,,,,,,,G,1,2962,3,0.10
Carcharhiniformes,Scyliorhinidae,Scyliorhinus canicula ,Lesser spotted dogfish,"N-O, D",BP,3.8,LC,Y,G,2,20,4,20.00
Carcharhiniformes,Scyliorhinidae,,,,,,,,G,3,72,11,15.28
Carcharhiniformes,Scyliorhinidae,,,,,,,,GI,1,20,3,15.00
Carcharhiniformes,Scyliorhinidae,,,,,,,,GI ,2,1,0,0.00
Carcharhiniformes,Scyliorhinidae,,,,,,,,G,2,5,0,0.00
Carcharhiniformes,Scyliorhinidae,,,,,,,,G,1,9981,7,0.07
Carcharhiniformes,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,"O, P",PP,4.1,EN,Y,G,1,1916,2,0.10
Carcharhiniformes,Sphyrnidae,Sphyrna mokarran,Great hammerhead,"O, P",PP,4.3,EN,Y,G,1,177,0,0.00
Carcharhiniformes,Sphyrnidae,Sphyrna tiburo,Bonnethead,"N, D",BP,3.9,LC,Y,GI,2,2,2,100.00
Carcharhiniformes,Sphyrnidae,Sphyrna zygaena,Smooth hammerhead,"O, P",PP,4.9,VU,Y,G,1,1154,2,0.17
Lamniformes,Alopiidae,Alopias superciliosus,Bigeye thresher,"O, P",PP,4.5,VU,Y,n/a,1,1,,yes
Lamniformes,Lamnidae,Carcharodon carcharias,Great White shark,"O, P",PP,4.5,VU,Y,G,1,524,2,0.38
Lamniformes,Lamnidae,Isurus oxyrinchus,Shortfin mako shark,"O, P",PP,4.5,VU,Y,G,1,231,2,0.87
Lamniformes,Lamnidae,Lamna nasus,Porbeagle,"O, P",PP,4.6,VU,Y,n/a,1,1022,,yes
Lamniformes,Odantaspididae,Carcharias taurus,Sand tiger shark,"N, BP",PP,4.5,VU,Y,G,1,2268,1,0.04
Myliobatiformes,Dasyatidae,Hypanus americanus,Southern stingray,"N, B",BP,3.5,DD,Y,G ,2,3,0,0.00
Myliobatiformes,Dasyatidae,Pteroplatytrygon violacea  ,Pelagic stingray,"O, P",PP,4.4,LC,BC,GI,2,2,1,50.00
Myliobatiformes,Myliobatidae,Rhinoptera bonasus,Cownose ray,"N-O, B",BP,3.2,NT,Y,GI,2,1,0,0.00
Orectolobiformes,Rhincodontidae,Rhincodon typus,Whale shark,"O, P",P ,3.6,VU,Y,n/a,1,1,,yes
Rajiformes,Rajidae,Dipturus oxyrinchus,Longnosed skate,"N-O, B ",BP,3.5,NT,Y,GI ,2,10,0,0.00
Rajiformes,Rajidae,Leucoraja circularis,Sandy ray,"N-O, B",BP,3.5,EN,Y,G,1,34,0,0.00
Rajiformes,Rajidae,Leucoraja naevus,Cuckoo ray,"N-O, B",BP,4.2,LC,Y,G,1,381,1,0.26
Rajiformes,Rajidae,Raja asterias,Mediterranean starry ray,"N, D",BP,3.5,LC,Y,G,2,7,3,42.86
Rajiformes,Rajidae,Raja clavata,Thornback ray,"N, B ",BP,3.8,NT,Y,GI,2,2,0,0.00
Rajiformes,Rajidae,,,,,,,,G,1,2705,0,0.00
Rajiformes,Rajidae,Raja montagui,Spotted ray,"N, B",BP,3.9,LC,Y,G,1,1421,0,0.00
Squaliformes,Centrophoridae,Centrophorus granulosus,gulper shark,"O, D",PP,4.1,VU,Y,GI ,2,5,0,0.00
Squaliformes,Centrophoridae,Deania calcea,Birdbeak dogfish,"O, BP",PP,4.3,LC,Y,G,1,130,0,0.00
Squaliformes,Etmopteridae,Etmopterus spinax  ,Velvet-belly lanternshark,"O, D",PP,4.1,LC,Y,GI,2,16,1,6.25
Squaliformes,Etmopteridae,,,,,,,,"G, GI, I",1,13,1,7.69
Squaliformes,Etmopteridae,,,,,,,,G,2,8,4,50.00
Squaliformes,Etmopteridae,,,,,,,,G,1,756,0,0.00
Squaliformes,Somniosidae,Centroscymnus coelolepis,Portuguese dogfish,"O, D",PP,4.5,NT,Y,"G, GI, I",1,54,1,1.85
Squaliformes,Somniosidae,Scymnodon ringens,Knifetooth dogfish,"O, BP",PP,3.9,DD,Y,G,1,49,0,0.00
Squaliformes,Squalidae,Squalus acanthias,Picked dogfish,"N-O, BP",PP,4.4,VU,Y,GI,3,9,4,44.44
Squaliformes,Squalidae,,,,,,,,GI ,2,10,0,0.00
Squaliformes,Squalidae,Squalus blainville,Longnose spurdog,"N-O, D",PP,4,DD,Y,GI,2,75,1,1.33
Torpediniformes,Narcinidae,Narcine brasiliensis,Brazilian electric ray,"N, B",BP,3.2,DD,Y,GI,2,6,1,16.67
Torpediniformes,Torpedinidae,Torpedo torpedo,Common torpedo,"N, D",BP,4.5,DD,N,G,2,1,0,0.00
Holocephali,Torpedinidae,,,,,,,,,,,,
Chimaeriformes,Chimaeridae,Chimera monstrosa,Ratfish,"N, D",BP,3.5,NT,BC,G,2,2,0,0.00